user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
TARA_004_SRF_0.22-1.6_bin.151	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__BACL11;g__UBA8444;s__UBA8444 sp003454845	GCA_003454845.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__BACL11;g__UBA8444;s__UBA8444 sp003454845	99.18	0.76	GCA_003454845.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__BACL11;g__UBA8444;s__UBA8444 sp003454845	99.18	0.76	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__BACL11;g__UBA8444;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002714805.1, s__UBA8444 sp002714805, 95.0, 86.16, 0.72	88.93	11	N/A	N/A
TARA_004_SRF_0.22-1.6_bin.484	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales_C;f__TMED2;g__TMED2;s__TMED2 sp002168225	GCA_002168225.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales_C;f__TMED2;g__TMED2;s__TMED2 sp002168225	99.99	0.96	GCA_002168225.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales_C;f__TMED2;g__TMED2;s__TMED2 sp002168225	99.99	0.96	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	96.83	11	N/A	N/A
TARA_004_SRF_0.22-1.6_bin.63	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Puniceispirillales;f__Puniceispirillaceae;g__UBA8309;s__UBA8309 sp002457765	GCA_002457765.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Puniceispirillales;f__Puniceispirillaceae;g__UBA8309;s__UBA8309 sp002457765	99.55	0.93	GCA_002457765.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Puniceispirillales;f__Puniceispirillaceae;g__UBA8309;s__UBA8309 sp002457765	99.55	0.93	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Puniceispirillales;f__Puniceispirillaceae;g__UBA8309;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002689625.1, s__UBA8309 sp002689625, 95.0, 99.19, 0.83; GCA_002683535.1, s__UBA8309 sp002683535, 95.0, 88.57, 0.87; GCA_002686685.1, s__UBA8309 sp002686685, 95.0, 79.07, 0.52; GCA_001627655.1, s__UBA8309 sp001627655, 95.0, 78.25, 0.39; GCA_002457745.1, s__UBA8309 sp002457745, 95.0, 78.21, 0.4; GCA_004213025.1, s__UBA8309 sp004213025, 95.0, 78.18, 0.43; GCA_002695585.1, s__UBA8309 sp002695585, 95.0, 78.16, 0.41; GCA_002731315.1, s__UBA8309 sp002731315, 95.0, 77.88, 0.38	94.94	11	N/A	N/A
TARA_004_SRF_0.22-1.6_bin.667	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__UBA1275;s__UBA1275 sp002323515	GCA_002323515.1	95.0	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__UBA1275;s__UBA1275 sp002323515	99.92	0.97	GCA_002323515.1	95.0	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__UBA1275;s__UBA1275 sp002323515	99.92	0.97	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__UBA1275;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002457365.1, s__UBA1275 sp002457365, 95.0, 93.68, 0.9; GCA_002720745.1, s__UBA1275 sp002720745, 95.0, 82.45, 0.69; GCA_002730655.1, s__UBA1275 sp002730655, 95.0, 82.29, 0.57; GCA_002348545.1, s__UBA1275 sp002348545, 95.0, 81.9, 0.69	79.58	11	N/A	N/A
TARA_007_SRF_0.22-1.6_bin.108	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__MED-G52;s__MED-G52 sp002457055	GCA_002457055.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__MED-G52;s__MED-G52 sp002457055	99.89	0.95	GCA_002457055.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__MED-G52;s__MED-G52 sp002457055	99.89	0.95	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__MED-G52;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_001627925.1, s__MED-G52 sp001627925, 95.0, 94.84, 0.84; GCA_002704465.1, s__MED-G52 sp002704465, 95.0, 80.58, 0.68; GCA_002457115.1, s__MED-G52 sp002457115, 95.0, 79.67, 0.7; GCA_002711145.1, s__MED-G52 sp002711145, 95.0, 78.96, 0.61; GCA_002682975.1, s__MED-G52 sp002682975, 95.0, 78.95, 0.6; GCA_001627375.1, s__MED-G52 sp001627375, 95.0, 76.46, 0.05; GCA_002171355.1, s__MED-G52 sp002171355, 95.0, 76.26, 0.04; GCA_003332035.1, s__MED-G52 sp003332035, 95.0, 76.02, 0.05	78.71	11	N/A	N/A
TARA_007_SRF_0.22-1.6_bin.163	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__UBA1275;s__UBA1275 sp002457365	GCA_002457365.1	95.0	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__UBA1275;s__UBA1275 sp002457365	99.57	0.94	GCA_002457365.1	95.0	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__UBA1275;s__UBA1275 sp002457365	99.57	0.94	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__UBA1275;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002323515.1, s__UBA1275 sp002323515, 95.0, 93.49, 0.85; GCA_002730655.1, s__UBA1275 sp002730655, 95.0, 81.35, 0.56; GCA_002720745.1, s__UBA1275 sp002720745, 95.0, 81.03, 0.69; GCA_002348545.1, s__UBA1275 sp002348545, 95.0, 80.86, 0.62	79.4	11	N/A	N/A
TARA_007_SRF_0.22-1.6_bin.216	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__MS024-2A_A;s__MS024-2A_A sp002457295	GCA_002457295.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__MS024-2A_A;s__MS024-2A_A sp002457295	99.71	0.83	GCA_002457295.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__MS024-2A_A;s__MS024-2A_A sp002457295	99.71	0.83	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	88.49	11	N/A	N/A
TARA_007_SRF_0.22-1.6_bin.42	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__BACL11;g__UBA8444;s__UBA8444 sp003454845	GCA_003454845.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__BACL11;g__UBA8444;s__UBA8444 sp003454845	95.49	0.78	GCA_003454845.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__BACL11;g__UBA8444;s__UBA8444 sp003454845	95.49	0.78	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__BACL11;g__UBA8444;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002714805.1, s__UBA8444 sp002714805, 95.0, 86.04, 0.71	90.73	11	N/A	N/A
TARA_007_SRF_0.22-1.6_bin.60	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__UBA11891;s__UBA11891 sp003533785	GCA_003533785.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__UBA11891;s__UBA11891 sp003533785	99.55	0.86	GCA_003533785.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__UBA11891;s__UBA11891 sp003533785	99.55	0.86	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	96.75	11	N/A	N/A
TARA_007_SRF_0.22-1.6_bin.96	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__MB11C04;g__MB11C04;s__MB11C04 sp002171765	GCA_002171765.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__MB11C04;g__MB11C04;s__MB11C04 sp002171765	98.23	0.83	GCA_002171765.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__MB11C04;g__MB11C04;s__MB11C04 sp002171765	98.23	0.83	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__MB11C04;g__MB11C04;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002364975.1, s__MB11C04 sp002364975, 95.0, 92.08, 0.81; GCA_003448565.1, s__MB11C04 sp003448565, 95.0, 80.07, 0.09; GCA_002167605.1, s__MB11C04 sp002167605, 95.0, 78.66, 0.1; GCA_002713685.1, s__MB11C04 sp002713685, 95.0, 78.44, 0.08; GCA_002477515.1, s__MB11C04 sp002477515, 95.0, 78.12, 0.07; GCA_002168015.1, s__MB11C04 sp002168015, 95.0, 78.06, 0.08; GCA_002726435.1, s__MB11C04 sp002726435, 95.0, 77.57, 0.11; GCA_002167265.1, s__MB11C04 sp002167265, 95.0, 77.39, 0.07; GCA_002689665.1, s__MB11C04 sp002689665, 95.0, 77.35, 0.07; GCA_002692605.1, s__MB11C04 sp002692605, 95.0, 76.68, 0.07; GCA_002722545.1, s__MB11C04 sp002722545, 95.0, 76.62, 0.04; GCA_002500665.1, s__MB11C04 sp002500665, 95.0, 76.43, 0.04; GCA_002694035.1, s__MB11C04 sp002694035, 95.0, 76.34, 0.07; GCA_002692535.1, s__MB11C04 sp002692535, 95.0, 75.87, 0.05; GCA_002686835.1, s__MB11C04 sp002686835, 95.0, 75.83, 0.05	77.96	11	N/A	N/A
