,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
10289,c__Gammaproteobacteria (UID4444),263, 507, 232, 21, 485, 1, 0, 0, 0, 99.14,0.05, 0.00,3273,3235,34,kingdom,1.0,0.99,0.0,0.0,0.0,0.97,0.96,True
110, k__Bacteria (UID2495),2993,140,85, 1,138, 1, 0, 0, 0, 98.82,0.59, 0.00,4209,3491,99,order,0.66,0.55,0.1,0.04,0.07,0.52,0.28,True
15551,root (UID1), 5656, 56,24, 56,0,0, 0, 0, 0,0.00,0.00, 0.00,306,136,5,kingdom,1.0,0.44,0.0,0.07,0.14,0.39,0.17,True
26320,root (UID1), 5656, 56,24, 56,0,0, 0, 0, 0,0.00,0.00, 0.00,310,128,11,kingdom,1.0,0.41,0.01,0.07,0.15,0.41,0.17,True
27664,root (UID1), 5656, 56,24, 56,0,0, 0, 0, 0,0.00,0.00, 0.00,249,122,11,kingdom,0.99,0.49,0.0,0.0,0.0,0.4,0.19,True
28725,c__Gammaproteobacteria (UID4444),263, 507, 232,484,22, 0, 0, 1, 0,1.36,0.22, 0.00,3495,1533,381,kingdom,1.0,0.44,0.34,0.04,0.08,0.5,0.22,True
29949,root (UID1), 5656, 56,24, 56,0,0, 0, 0, 0,0.00,0.00, 0.00,290,119,3,kingdom,0.98,0.4,0.0,0.0,0.0,0.46,0.18,True
30136,root (UID1), 5656, 56,24, 56,0,0, 0, 0, 0,0.00,0.00, 0.00,254,113,24,kingdom,1.0,0.44,0.0,0.04,0.07,0.38,0.17,True
30150,root (UID1), 5656, 56,24, 56,0,0, 0, 0, 0,0.00,0.00, 0.00,354,155,4,kingdom,1.0,0.44,0.04,0.03,0.07,0.4,0.18,True
30152,root (UID1), 5656, 56,24, 56,0,0, 0, 0, 0,0.00,0.00, 0.00,305,218,20,kingdom,1.0,0.71,0.0,0.06,0.12,0.41,0.29,True
30167,root (UID1), 5656, 56,24, 56,0,0, 0, 0, 0,0.00,0.00, 0.00,87,52,20,kingdom,1.0,0.6,0.0,0.0,0.0,0.39,0.23,True
47,o__Cytophagales (UID2936), 47, 454, 336, 6,441, 7, 0, 0, 0, 98.36,1.55, 0.00,5461,5041,198,genus,0.5,0.46,0.1,0.73,6.34,0.59,0.27,True
559,c__Betaproteobacteria (UID3888), 323, 387, 234, 21, 365, 1, 0, 0, 0, 98.17,0.21, 0.00,3150,3073,34,class,0.98,0.96,0.05,0.03,0.06,0.92,0.88,True
