,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
10429, k__Archaea (UID2),207, 149, 107,129,13, 7,0, 0, 0,5.85,0.50, 0.00,416,131,14,kingdom,1.0,0.31,0.0,0.14,0.31,0.35,0.11,True
14125,c__Gammaproteobacteria (UID4443),356, 451, 270,149, 292, 10, 0, 0, 0, 67.70,2.33,40.00,2014,1903,113,family,0.51,0.48,0.1,0.8,7.39,0.57,0.27,True
17903,k__Bacteria (UID203),5449,104,58, 79,23, 2,0, 0, 0, 36.21,3.45,50.00,1447,1396,177,family,0.89,0.86,0.41,0.14,0.32,0.67,0.57,True
18934,k__Bacteria (UID203),5449,104,58, 66,37, 1,0, 0, 0, 56.03,1.72,100.00,1097,1060,178,family,0.89,0.86,0.43,0.1,0.21,0.69,0.59,True
19912,k__Bacteria (UID203),5449,103,57, 83,20, 0,0, 0, 0, 31.58,0.00, 0.00,457,444,8,class,0.95,0.92,0.12,0.12,0.27,0.53,0.49,True
20162,k__Bacteria (UID203),5449,104,58, 68,35, 1,0, 0, 0, 50.00,1.72, 0.00,1256,1131,69,class,0.82,0.74,0.23,0.64,3.01,0.56,0.42,True
22186,c__Alphaproteobacteria (UID3305),564, 349, 230,248,99, 2,0, 0, 0, 30.96,0.58,50.00,724,656,168,family,0.67,0.6,0.29,0.58,2.4,0.59,0.36,True
23816,k__Bacteria (UID203),5449,103,57, 68,35, 0,0, 0, 0, 52.63,0.00, 0.00,790,754,6,class,0.95,0.91,0.06,0.1,0.22,0.6,0.54,True
26262,root (UID1), 5656, 56,24, 46,1,5,1, 2, 1,5.21,9.03, 0.00,1297,384,98,kingdom,1.0,0.3,0.0,0.14,0.31,0.39,0.11,True
27594, k__Archaea (UID2),207, 149, 107,119,30, 0,0, 0, 0, 21.50,0.00, 0.00,420,387,28,kingdom,1.0,0.92,0.15,0.06,0.13,0.59,0.55,True
27793,root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,461,184,30,kingdom,1.0,0.4,0.0,0.04,0.08,0.43,0.17,True
27973,k__Bacteria (UID203),5449,104,58, 63,41, 0,0, 0, 0, 62.07,0.00, 0.00,1890,1842,132,kingdom,1.0,0.97,0.0,0.0,0.0,0.92,0.89,True
28177,k__Bacteria (UID203),5449,104,58, 78,26, 0,0, 0, 0, 36.21,0.00, 0.00,566,549,24,family,0.86,0.84,0.16,0.17,0.44,0.67,0.56,True
28312,root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,470,195,39,kingdom,1.0,0.41,0.0,0.04,0.07,0.44,0.18,True
28328,root (UID1), 5656, 56,24, 54,2,0,0, 0, 0,8.33,0.00, 0.00,277,276,10,kingdom,1.0,1.0,0.0,0.0,0.0,0.96,0.96,True
28865,root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,1022,413,79,kingdom,1.0,0.4,0.07,0.03,0.05,0.42,0.17,True
30694, k__Archaea (UID2),207, 149, 107,128,14, 7,0, 0, 0,7.25,0.50, 0.00,335,104,9,kingdom,1.0,0.31,0.0,0.16,0.38,0.37,0.12,True
31960,k__Bacteria (UID203),5449,104,58, 92,12, 0,0, 0, 0, 18.97,0.00, 0.00,337,315,20,phylum,0.91,0.85,0.07,0.23,0.64,0.52,0.44,True
33537, k__Bacteria (UID2982), 88, 230, 148,141,89, 0,0, 0, 0, 26.35,0.00, 0.00,349,325,8,class,0.87,0.81,0.13,0.26,0.67,0.6,0.49,True
5213,k__Archaea (UID2),207, 149, 107,127,15, 7,0, 0, 0,8.18,0.50, 0.00,392,130,6,kingdom,1.0,0.33,0.0,0.14,0.31,0.36,0.12,True
7614,p__Cyanobacteria (UID2143), 129, 472, 368,220, 246, 6,0, 0, 0, 50.00,0.56,50.00,1173,1164,224,kingdom,1.0,0.99,0.0,0.0,0.0,0.96,0.95,True
7983, c__Betaproteobacteria (UID3888), 323, 376, 229, 31, 339, 6,0, 0, 0, 95.20,1.89, 0.00,1273,1258,16,kingdom,1.0,0.99,0.0,0.0,0.0,0.91,0.9,True
862,root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,322,112,18,kingdom,0.98,0.34,0.0,0.0,0.0,0.46,0.16,True
