,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
10112,k__Archaea (UID2),207, 149, 107,131,12, 6,0, 0, 0,4.45,0.43, 0.00,413,119,6,kingdom,1.0,0.29,0.0,0.18,0.43,0.36,0.1,True
10185, p__Euryarchaeota (UID3), 148, 188, 125, 27, 155, 6,0, 0, 0, 80.40,1.91,50.00,1311,1207,123,kingdom,1.0,0.92,0.18,0.06,0.13,0.61,0.56,True
10222, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,326,81,31,kingdom,0.99,0.25,0.0,0.0,0.0,0.39,0.1,True
12578,k__Archaea (UID2),207, 149, 107,128,14, 7,0, 0, 0,7.25,0.50,14.29,518,158,19,kingdom,1.0,0.31,0.0,0.13,0.28,0.37,0.11,True
12954,k__Archaea (UID2),207, 149, 107,128,12, 3,6, 0, 0,7.25,1.32, 4.76,366,118,14,kingdom,1.0,0.32,0.0,0.17,0.39,0.37,0.12,True
13826,k__Archaea (UID2),207, 149, 107,133,9,7,0, 0, 0,3.51,0.50, 0.00,382,103,21,kingdom,1.0,0.27,0.0,0.15,0.33,0.37,0.1,True
14495,f__Moraxellaceae (UID4680),86, 689, 365,200, 485, 4,0, 0, 0, 70.58,0.57,50.00,2350,2298,225,kingdom,1.0,0.98,0.0,0.0,0.0,0.88,0.87,True
16726,k__Archaea (UID2),207, 149, 107,139,8,2,0, 0, 0,2.54,0.93, 0.00,277,96,38,kingdom,1.0,0.35,0.0,0.1,0.23,0.38,0.13,True
18492,k__Bacteria (UID1453),901, 171, 117,101,64, 4,2, 0, 0, 29.37,5.13, 0.00,863,823,172,family,0.56,0.53,0.84,0.41,1.55,0.7,0.37,False
19252,k__Archaea (UID2),207, 149, 107,136,13, 0,0, 0, 0,2.43,0.00, 0.00,205,50,10,kingdom,1.0,0.24,0.0,0.26,0.63,0.34,0.08,True
20323, root (UID1), 5656, 56,24, 55,1,0,0, 0, 0,4.17,0.00, 0.00,239,226,40,phylum,0.96,0.91,0.62,0.08,0.19,0.58,0.53,False
2251,o__Actinomycetales (UID1593), 69, 400, 198, 9,388, 3,0, 0, 0, 97.92,0.93, 0.00,2486,2390,143,genus,0.72,0.69,0.1,0.42,1.73,0.7,0.48,True
2290,p__Euryarchaeota (UID3), 148, 188, 125, 48, 138, 2,0, 0, 0, 71.33,1.20,50.00,1502,1379,255,kingdom,1.0,0.92,0.34,0.07,0.15,0.61,0.56,True
23094, root (UID1), 5656, 56,24, 54,2,0,0, 0, 0,8.33,0.00, 0.00,247,239,9,family,0.8,0.78,0.06,0.52,2.3,0.54,0.42,True
24866, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,248,244,7,class,0.9,0.88,0.05,0.16,0.38,0.51,0.45,True
2916,k__Bacteria (UID203),5449,104,58, 54,49, 1,0, 0, 0, 75.86,1.72,100.00,3667,3614,373,kingdom,1.0,0.99,0.0,0.0,0.0,0.94,0.93,True
31553, k__Bacteria (UID203),5449,102,58, 88,14, 0,0, 0, 0, 20.69,0.00, 0.00,225,215,10,class,0.92,0.88,0.07,0.11,0.24,0.51,0.45,True
37528, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,334,296,25,family,0.5,0.45,0.1,0.28,0.85,0.46,0.21,True
4631, o__Sphingomonadales (UID3310), 26, 569, 293,103, 450, 16, 0, 0, 0, 84.88,4.04,50.00,4659,4401,760,order,0.95,0.9,1.0,0.02,0.04,0.95,0.86,False
9675, k__Archaea (UID2),207, 149, 107,133,9,7,0, 0, 0,3.51,0.50, 0.00,310,101,5,kingdom,1.0,0.33,0.0,0.16,0.36,0.36,0.12,True
