,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
13579,k__Bacteria (UID203),5449,104,58, 82,22, 0, 0, 0, 0, 31.03,0.00, 0.00,991,955,251,genus,0.75,0.72,0.56,0.11,0.24,0.7,0.5,False
15780,root (UID1), 5656, 56,24, 56,0,0, 0, 0, 0,0.00,0.00, 0.00,393,100,33,kingdom,0.99,0.25,0.0,0.0,0.0,0.4,0.1,True
16373,p__Euryarchaeota (UID3), 148, 188, 125, 27, 161, 0, 0, 0, 0, 80.40,0.00, 0.00,1155,1086,13,kingdom,1.0,0.94,0.01,0.07,0.15,0.61,0.57,True
19107,p__Euryarchaeota (UID3), 148, 188, 125, 88, 100, 0, 0, 0, 0, 58.00,0.00, 0.00,1115,1058,41,kingdom,1.0,0.95,0.18,0.03,0.07,0.64,0.61,True
19295,k__Bacteria (UID203),5449,104,58, 82,22, 0, 0, 0, 0, 18.03,0.00, 0.00,700,675,161,phylum,1.0,0.96,0.55,0.02,0.05,0.81,0.78,False
20952,k__Bacteria (UID203),5449,104,58, 71,31, 2, 0, 0, 0, 48.28,2.59,50.00,2090,1899,329,genus,0.59,0.54,0.33,0.45,1.95,0.59,0.32,True
23755,k__Bacteria (UID203),5449,103,58, 92,9,2, 0, 0, 0, 13.28,1.72, 0.00,352,307,53,family,0.59,0.52,1.0,0.3,0.88,0.84,0.43,False
23878,k__Bacteria (UID203),5449,104,58, 71,31, 2, 0, 0, 0, 40.60,3.45,50.00,559,481,56,phylum,0.83,0.71,0.39,0.53,1.7,0.52,0.37,True
24276,root (UID1), 5656, 56,24, 56,0,0, 0, 0, 0,0.00,0.00, 0.00,320,302,11,phylum,0.87,0.82,0.1,0.16,0.38,0.61,0.5,True
24513, k__Archaea (UID2),207, 149, 107,134,15, 0, 0, 0, 0, 12.15,0.00, 0.00,234,220,18,kingdom,1.0,0.94,0.05,0.05,0.1,0.6,0.57,True
25073,root (UID1), 5656, 56,24, 56,0,0, 0, 0, 0,0.00,0.00, 0.00,393,135,35,kingdom,1.0,0.34,0.0,0.07,0.14,0.4,0.14,True
26013,p__Euryarchaeota (UID3), 148, 188, 125, 77, 110, 1, 0, 0, 0, 48.00,0.40,100.00,744,682,93,kingdom,1.0,0.92,0.21,0.07,0.16,0.6,0.55,True
27890,root (UID1), 5656, 56,24, 56,0,0, 0, 0, 0,0.00,0.00, 0.00,240,223,14,family,0.46,0.42,0.11,0.75,5.17,0.55,0.23,True
27924,root (UID1), 5656, 56,24, 56,0,0, 0, 0, 0,0.00,0.00, 0.00,262,255,4,class,0.99,0.96,0.03,0.02,0.05,0.6,0.58,True
31890,root (UID1), 5656, 56,24, 56,0,0, 0, 0, 0,0.00,0.00, 0.00,268,235,15,class,0.85,0.75,0.25,0.08,0.19,0.48,0.36,True
33522, k__Archaea (UID2),207, 149, 107,134,15, 0, 0, 0, 0,9.50,0.00, 0.00,260,241,80,kingdom,1.0,0.93,0.59,0.07,0.14,0.62,0.57,False
35002,root (UID1), 5656, 56,24, 56,0,0, 0, 0, 0,0.00,0.00, 0.00,242,106,2,kingdom,1.0,0.44,0.03,0.03,0.06,0.39,0.17,True
38233,k__Bacteria (UID203),5449,104,58, 62,42, 0, 0, 0, 0, 60.34,0.00, 0.00,710,637,3,order,0.63,0.57,0.01,0.24,0.69,0.51,0.29,True
45244, k__Bacteria (UID3187),2258,190, 119,102,87, 1, 0, 0, 0, 31.51,0.84, 0.00,297,282,4,genus,0.54,0.51,0.13,0.11,0.24,0.53,0.27,True
5727,k__Archaea (UID2),207, 149, 107,127,15, 7, 0, 0, 0,8.18,0.50, 0.00,407,126,27,kingdom,1.0,0.31,0.0,0.14,0.32,0.37,0.11,True
9114, o__Actinomycetales (UID1663),488, 310, 185, 27, 277, 6, 0, 0, 0, 89.38,1.80,83.33,1997,1813,133,phylum,0.95,0.87,0.13,0.05,0.1,0.59,0.51,True
