,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
10631,k__Bacteria (UID203),5449,104,58, 76,28, 0,0,0, 0, 40.52,0.00, 0.00,531,507,11,genus,0.48,0.46,0.01,0.44,1.86,0.56,0.26,True
1227, k__Bacteria (UID203),5449,104,58, 60,44, 0,0,0, 0, 63.79,0.00, 0.00,1640,1557,310,family,0.91,0.86,0.38,0.1,0.22,0.67,0.58,True
12412,root (UID1), 5656, 56,24, 51,0,5,0,0, 0,2.31,2.31, 0.00,273,84,9,kingdom,1.0,0.31,0.0,0.18,0.42,0.39,0.12,True
15821,root (UID1), 5656, 56,24, 56,0,0,0,0, 0,0.00,0.00, 0.00,298,130,8,kingdom,1.0,0.44,0.0,0.03,0.06,0.42,0.18,True
1705,p__Bacteroidetes (UID2591), 364, 302, 202, 25, 275, 2,0,0, 0, 90.10,0.74,50.00,2184,1986,145,class,0.94,0.85,0.03,0.62,2.38,0.56,0.47,True
1938,k__Bacteria (UID2569),434, 278, 186, 63, 215, 0,0,0, 0, 84.41,0.00, 0.00,1222,1195,29,family,0.9,0.88,0.06,0.09,0.19,0.62,0.55,True
2084,k__Archaea (UID2),207, 149, 107,127,14, 8,0,0, 0,7.72,0.58, 0.00,515,156,13,kingdom,1.0,0.3,0.0,0.19,0.45,0.36,0.11,True
2119,k__Bacteria (UID1453),901, 171, 117, 29, 139, 3,0,0, 0, 81.97,2.14, 0.00,1116,931,90,phylum,0.8,0.66,0.03,0.68,3.89,0.46,0.31,True
2180,p__Bacteroidetes (UID2591), 364, 302, 202, 69, 233, 0,0,0, 0, 79.46,0.00, 0.00,3851,3532,232,phylum,0.95,0.87,0.13,0.06,0.12,0.54,0.47,True
2183, root (UID1), 5656, 56,24, 56,0,0,0,0, 0,0.00,0.00, 0.00,515,43,33,kingdom,1.0,0.08,0.0,0.02,0.05,0.37,0.03,True
2276,k__Bacteria (UID2982), 88, 227, 146, 40, 184, 3,0,0, 0, 88.95,2.05,33.33,2347,2161,152,class,0.8,0.73,0.08,0.15,0.35,0.66,0.48,True
23321,k__Bacteria (UID203),5449,104,58, 95,9,0,0,0, 0, 13.79,0.00, 0.00,175,172,1,kingdom,0.99,0.98,0.0,0.0,0.0,0.6,0.59,True
2549, k__Bacteria (UID203),5449,104,58, 67,26, 11, 0,0, 0, 56.03, 17.24,18.18,1296,1235,208,family,0.9,0.86,0.14,0.06,0.13,0.61,0.52,True
2554, k__Bacteria (UID203),5449,104,58, 91,13, 0,0,0, 0, 22.41,0.00, 0.00,312,309,22,kingdom,1.0,0.99,0.0,0.0,0.0,0.81,0.8,True
2564, c__Gammaproteobacteria (UID4443),356, 451, 270,143, 304, 4,0,0, 0, 67.27,1.20,25.00,2389,2273,159,class,0.91,0.86,0.13,0.29,0.85,0.56,0.49,True
2572, root (UID1), 5656, 56,24, 56,0,0,0,0, 0,0.00,0.00, 0.00,416,191,19,kingdom,0.99,0.45,0.0,0.0,0.0,0.43,0.19,True
2586, k__Bacteria (UID203),5449,104,58, 4, 42, 42, 14, 2, 0, 93.10, 65.26, 6.25,2850,2612,413,genus,0.64,0.59,0.98,0.26,0.73,0.83,0.49,False
2589, p__Proteobacteria (UID3880), 1495,261, 164,129,94, 30, 7,1, 0, 57.44, 22.92,14.04,1399,1382,239,genus,0.84,0.83,0.98,0.18,0.44,0.87,0.72,False
2594,k__Bacteria (UID2569),434, 277, 185, 77, 200, 0,0,0, 0, 85.65,0.00, 0.00,2262,2079,67,family,0.85,0.78,0.04,0.25,0.72,0.59,0.46,True
2595,k__Archaea (UID2),207, 149, 107,129,11, 8,1,0, 0,7.33,3.70, 0.00,1225,326,110,kingdom,1.0,0.27,0.0,0.11,0.24,0.37,0.1,True
2600,f__Rhodobacteraceae (UID3361), 46, 654, 332,112, 471, 69, 2,0, 0, 83.50, 10.43,10.67,3235,3065,334,genus,0.56,0.53,0.25,0.75,6.83,0.77,0.41,True
2604,k__Archaea (UID2),207, 149, 107,129,8,7,5,0, 0,5.85,3.12, 0.00,680,187,42,kingdom,1.0,0.28,0.0,0.16,0.37,0.37,0.1,True
2610, k__Bacteria (UID203),5449,104,58, 16,52, 25, 10, 1, 0, 77.59, 53.61,13.11,1589,1476,174,genus,0.6,0.56,1.0,0.05,0.11,0.75,0.42,False
2616, k__Bacteria (UID203),5449,104,58, 72,20, 11, 1,0, 0, 47.41, 19.83, 0.00,1094,1032,252,phylum,0.98,0.93,0.82,0.07,0.14,0.62,0.57,False
2617, k__Bacteria (UID203),5449,104,58, 61,43, 0,0,0, 0, 62.07,0.00, 0.00,1501,1469,106,class,0.98,0.96,0.34,0.02,0.05,0.69,0.66,True
2630, c__Gammaproteobacteria (UID4201),1164,275, 174,150, 117, 8,0,0, 0, 41.24,4.02,25.00,811,765,96,class,0.92,0.87,0.26,0.19,0.47,0.56,0.49,True
2631, k__Bacteria (UID203),5449,104,58, 45,28, 26, 5,0, 0, 82.41, 53.45,39.02,2638,2445,197,class,0.91,0.85,0.02,0.39,1.43,0.51,0.43,True
2634,f__Rhodobacteraceae (UID3340), 84, 568, 330, 32, 532, 4,0,0, 0, 96.35,1.06,25.00,2703,2660,97,kingdom,1.0,0.98,0.0,0.0,0.0,0.98,0.97,True
2653,f__Rhodobacteraceae (UID3356), 67, 615, 329,346, 250, 19, 0,0, 0, 43.59,3.60,15.79,1090,1052,162,phylum,0.98,0.95,0.98,0.25,0.6,0.65,0.61,False
2659, root (UID1), 5656, 56,24, 56,0,0,0,0, 0,0.00,0.00, 0.00,338,322,28,family,0.79,0.75,0.33,0.1,0.22,0.63,0.47,True
2660, k__Bacteria (UID203),5449,104,58, 68,36, 0,0,0, 0, 55.17,0.00, 0.00,1478,1449,46,genus,0.76,0.74,0.02,0.86,11.1,0.71,0.53,True
2674,k__Archaea (UID2),207, 149, 107,138,7,4,0,0, 0,3.38,0.29, 0.00,585,185,44,kingdom,1.0,0.32,0.0,0.08,0.18,0.36,0.11,True
2696, root (UID1), 5656, 56,24, 55,1,0,0,0, 0,4.17,0.00, 0.00,349,293,98,class,0.74,0.62,0.17,0.47,1.88,0.52,0.33,True
2698,k__Archaea (UID2),207, 149, 107,144,5,0,0,0, 0,0.36,0.00, 0.00,331,63,37,kingdom,1.0,0.19,0.0,0.17,0.4,0.35,0.07,True
2728, k__Bacteria (UID203),5449,104,58, 84,20, 0,0,0, 0, 29.31,0.00, 0.00,385,366,14,kingdom,1.0,0.95,0.0,0.0,0.0,0.54,0.51,True
2737, k__Bacteria (UID203),5449,104,58, 79,25, 0,0,0, 0, 32.76,0.00, 0.00,903,876,45,genus,0.75,0.73,0.49,0.17,0.42,0.76,0.55,False
2747, k__Bacteria (UID203),5449,104,58, 61,42, 1,0,0, 0, 59.48,1.72, 0.00,1352,1312,94,class,0.98,0.95,0.02,0.03,0.05,0.7,0.66,True
2776, k__Bacteria (UID203),5449,104,58, 81,22, 1,0,0, 0, 30.17,1.72,100.00,547,542,74,phylum,1.0,0.99,1.0,0.05,0.1,0.97,0.96,False
2801, k__Bacteria (UID203),5449,104,58,104,0,0,0,0, 0,0.00,0.00, 0.00,210,202,32,family,0.68,0.65,0.32,0.13,0.31,0.63,0.41,True
2830, k__Bacteria (UID203),5449,104,58, 84,20, 0,0,0, 0, 21.47,0.00, 0.00,269,248,15,kingdom,1.0,0.92,0.0,0.0,0.0,0.56,0.52,True
2839, k__Bacteria (UID203),5449,104,58,100,4,0,0,0, 0,6.90,0.00, 0.00,262,221,9,phylum,0.85,0.72,0.03,0.63,3.25,0.45,0.32,True
2842, k__Bacteria (UID203),5449,103,57, 77,25, 1,0,0, 0, 36.84,0.88,100.00,645,628,21,class,0.93,0.9,0.17,0.15,0.34,0.55,0.5,True
2854, root (UID1), 5656, 56,24, 56,0,0,0,0, 0,0.00,0.00, 0.00,189,181,29,phylum,0.97,0.93,0.93,0.15,0.34,0.61,0.57,False
2888, root (UID1), 5656, 56,24, 56,0,0,0,0, 0,0.00,0.00, 0.00,179,87,14,kingdom,0.99,0.48,0.0,0.0,0.0,0.41,0.2,True
2897,p__Bacteroidetes (UID2591), 364, 303, 203,251,52, 0,0,0, 0, 13.88,0.00, 0.00,267,255,18,kingdom,1.0,0.95,0.0,0.0,0.0,0.54,0.51,True
2913, k__Bacteria (UID203),5449,104,58, 66,35, 3,0,0, 0, 52.51,4.31,100.00,1132,991,59,phylum,0.95,0.84,0.73,0.05,0.11,0.53,0.44,False
2961, root (UID1), 5656, 56,24, 53,3,0,0,0, 0, 12.50,0.00, 0.00,591,571,144,genus,0.97,0.93,0.13,0.04,0.09,0.91,0.85,True
2969, k__Bacteria (UID203),5449,102,56, 84,18, 0,0,0, 0, 12.50,0.00, 0.00,562,472,64,genus,0.79,0.66,0.27,0.15,0.38,0.6,0.4,True
2970, k__Bacteria (UID203),5449,104,58, 99,5,0,0,0, 0,6.90,0.00, 0.00,366,356,55,genus,0.79,0.77,1.0,0.03,0.06,0.77,0.59,False
2989, k__Bacteria (UID203),5449,104,58, 73,31, 0,0,0, 0, 40.69,0.00, 0.00,887,815,98,phylum,0.97,0.89,0.13,0.03,0.06,0.51,0.45,True
3057, k__Bacteria (UID203),5449,102,56, 95,7,0,0,0, 0, 10.71,0.00, 0.00,716,625,98,genus,0.76,0.66,0.25,0.25,0.73,0.59,0.39,True
3060, k__Bacteria (UID203),5449,103,57, 58,45, 0,0,0, 0, 68.42,0.00, 0.00,911,824,34,class,0.89,0.81,0.06,0.08,0.16,0.53,0.43,True
3069, c__Alphaproteobacteria (UID3305),564, 349, 230,148, 201, 0,0,0, 0, 52.90,0.00, 0.00,1462,1422,50,class,0.95,0.93,0.1,0.08,0.18,0.6,0.55,True
3076,k__Archaea (UID2),207, 149, 107,134,15, 0,0,0, 0,2.97,0.00, 0.00,372,115,12,kingdom,1.0,0.31,0.0,0.1,0.23,0.36,0.11,True
3084, k__Bacteria (UID203),5449,102,56, 99,3,0,0,0, 0,3.57,0.00, 0.00,197,161,32,genus,0.78,0.63,0.3,0.32,1.09,0.59,0.37,True
3239, root (UID1), 5656, 56,24, 56,0,0,0,0, 0,0.00,0.00, 0.00,252,19,18,kingdom,1.0,0.08,0.0,0.11,0.23,0.37,0.03,True
3304,k__Archaea (UID2),207, 149, 107,127,22, 0,0,0, 0, 15.56,0.00, 0.00,196,183,22,kingdom,1.0,0.93,0.03,0.05,0.1,0.59,0.55,True
3323, k__Bacteria (UID203),5449,104,58, 55,48, 1,0,0, 0, 71.38,0.86, 0.00,1544,1510,171,genus,0.76,0.74,0.09,0.62,2.76,0.72,0.53,True
3333, k__Bacteria (UID203),5449,104,58, 86,18, 0,0,0, 0, 26.72,0.00, 0.00,979,966,30,kingdom,1.0,0.99,0.0,0.0,0.0,0.76,0.75,True
3392,s__algicola (UID2847), 33, 496, 263,142, 336, 18, 0,0, 0, 78.60,4.47,11.11,1722,1668,36,genus,0.69,0.67,0.01,0.63,2.66,0.7,0.47,True
3481, k__Bacteria (UID203),5449,104,58, 92,12, 0,0,0, 0, 14.83,0.00, 0.00,271,243,20,class,0.92,0.82,0.39,0.03,0.06,0.58,0.47,True
3523, c__Gammaproteobacteria (UID4443),356, 451, 270, 96, 318, 37, 0,0, 0, 80.95,9.38, 0.00,1815,1720,57,class,0.92,0.87,0.53,0.19,0.47,0.58,0.51,False
3545, k__Bacteria (UID203),5449,104,58, 90,14, 0,0,0, 0, 20.69,0.00, 0.00,299,287,9,kingdom,1.0,0.96,0.0,0.0,0.0,0.56,0.53,True
3591,k__Archaea (UID2),207, 149, 107,136,13, 0,0,0, 0,5.42,0.00, 0.00,284,87,16,kingdom,1.0,0.31,0.0,0.08,0.17,0.34,0.1,True
3696,f__Rhodobacteraceae (UID3356), 67, 615, 329,580,35, 0,0,0, 0,2.07,0.00, 0.00,368,333,46,genus,0.67,0.61,0.6,0.26,0.79,0.85,0.52,False
3708,k__Bacteria (UID1453),901, 171, 117, 13, 153, 5,0,0, 0, 89.32,3.42,20.00,2611,2450,179,phylum,0.97,0.91,0.23,0.05,0.1,0.68,0.62,True
3924, k__Bacteria (UID203),5449,104,58, 59,45, 0,0,0, 0, 65.52,0.00, 0.00,1320,1267,34,family,0.82,0.79,0.07,0.1,0.21,0.63,0.5,True
4059, root (UID1), 5656, 56,24, 55,1,0,0,0, 0,4.17,0.00, 0.00,218,205,18,family,0.84,0.79,0.02,0.6,3.69,0.52,0.41,True
4537, root (UID1), 5656, 56,24, 56,0,0,0,0, 0,0.00,0.00, 0.00,306,126,7,kingdom,0.98,0.41,0.0,0.0,0.0,0.41,0.17,True
4737, root (UID1), 5656, 56,24, 55,1,0,0,0, 0,4.17,0.00, 0.00,203,197,13,family,0.96,0.94,0.62,0.04,0.08,0.73,0.68,False
4766, root (UID1), 5656, 56,24, 56,0,0,0,0, 0,0.00,0.00, 0.00,518,226,6,kingdom,1.0,0.44,0.03,0.03,0.05,0.42,0.18,True
4797, k__Bacteria (UID203),5449,104,58, 86,18, 0,0,0, 0, 18.26,0.00, 0.00,401,389,13,kingdom,1.0,0.97,0.0,0.0,0.0,0.7,0.67,True
4833, k__Bacteria (UID203),5449,103,57, 73,26, 4,0,0, 0, 43.86,7.02,25.00,495,454,23,kingdom,1.0,0.92,0.04,0.02,0.05,0.45,0.42,True
5183, k__Bacteria (UID203),5449,104,58, 92,12, 0,0,0, 0, 19.83,0.00, 0.00,239,234,12,kingdom,1.0,0.98,0.0,0.0,0.0,0.79,0.77,True
5201, k__Bacteria (UID203),5449,104,58, 96,8,0,0,0, 0, 10.34,0.00, 0.00,230,207,7,phylum,0.82,0.73,0.01,0.63,3.47,0.47,0.34,True
5406,k__Archaea (UID2),207, 149, 107,135,13, 1,0,0, 0,3.83,0.07, 0.00,231,74,15,kingdom,1.0,0.32,0.0,0.14,0.31,0.37,0.12,True
5643,k__Archaea (UID2),207, 149, 107,141,8,0,0,0, 0,3.09,0.00, 0.00,207,66,17,kingdom,1.0,0.32,0.0,0.08,0.16,0.35,0.11,True
5814,k__Bacteria (UID2569),434, 278, 186, 60, 213, 5,0,0, 0, 86.02,1.57,60.00,1510,1419,43,phylum,0.98,0.92,0.07,0.02,0.04,0.53,0.49,True
5817, root (UID1), 5656, 56,24, 56,0,0,0,0, 0,0.00,0.00, 0.00,279,113,10,kingdom,0.99,0.4,0.0,0.0,0.0,0.44,0.17,True
5868, k__Bacteria (UID203),5449,104,58, 95,9,0,0,0, 0, 13.79,0.00, 0.00,307,273,21,phylum,0.91,0.81,0.07,0.06,0.14,0.47,0.38,True
5896, k__Bacteria (UID203),5449,104,58,103,1,0,0,0, 0,1.72,0.00, 0.00,248,229,22,class,0.92,0.85,0.4,0.48,1.49,0.58,0.49,True
6287, root (UID1), 5656, 56,24, 56,0,0,0,0, 0,0.00,0.00, 0.00,135,65,15,kingdom,1.0,0.48,0.0,0.03,0.06,0.38,0.18,True
6640, k__Bacteria (UID203),5449,104,58, 92,12, 0,0,0, 0, 15.52,0.00, 0.00,247,241,7,order,0.88,0.86,0.08,0.36,1.2,0.59,0.51,True
6727,k__Archaea (UID2),207, 149, 107,135,12, 2,0,0, 0,2.73,0.14, 0.00,360,89,17,kingdom,1.0,0.25,0.0,0.2,0.48,0.37,0.09,True
7016, k__Bacteria (UID203),5449,104,58, 86,17, 1,0,0, 0, 27.59,1.72,100.00,286,281,12,genus,0.92,0.91,0.01,0.02,0.05,0.81,0.74,True
