user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
SAMEA103957793_bin.12	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Anaeroplasmataceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Anaeroplasmataceae;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	89.44	11	0.8650858586158612	N/A
SAMEA103957793_bin.2	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Anaeroplasmataceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Anaeroplasmataceae;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	84.35	11	0.8680126595493394	N/A
SAMEA103957793_bin.3	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Catenibacterium;s__Catenibacterium sp000437715	GCF_004168205.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Catenibacterium;s__Catenibacterium sp000437715	99.06	0.76	GCF_004168205.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Catenibacterium;s__Catenibacterium sp000437715	99.06	0.76	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Catenibacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000173795.1, s__Catenibacterium mitsuokai, 95.0, 93.87, 0.74; GCA_900540665.1, s__Catenibacterium sp900540665, 95.0, 92.94, 0.74; GCA_900540685.1, s__Catenibacterium sp900540685, 95.0, 92.91, 0.73	87.74	11	N/A	N/A
SAMEA103957793_bin.4	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__CAG-521;s__	N/A	N/A	N/A	N/A	N/A	GCA_900554675.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__CAG-521;s__CAG-521 sp900554675	80.3	0.41	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__CAG-521;s__	taxonomic classification defined by topology and ANI	N/A	GCA_900553105.1, s__CAG-521 sp900553105, 95.0, 78.92, 0.19; GCA_000437635.1, s__CAG-521 sp000437635, 95.0, 78.69, 0.17; GCA_900545335.1, s__CAG-521 sp900545335, 95.0, 78.54, 0.16; GCA_900546995.1, s__CAG-521 sp900546995, 95.0, 78.43, 0.13; GCA_900544345.1, s__CAG-521 sp900544345, 95.0, 78.4, 0.16; GCA_002329575.1, s__CAG-521 sp002329575, 95.0, 78.25, 0.15; GCA_003543795.1, s__CAG-521 sp003543795, 95.0, 77.39, 0.04	81.94	11	0.9757102294111692	N/A
SAMEA103957793_bin.5	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor plautii	GCF_000239295.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor plautii	98.48	0.86	GCF_000508885.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor sp000508885	98.64	0.6	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__	ANI	topological placement and ANI have incongruent species assignments	GCF_002161215.1, s__Flavonifractor sp002161215, 95.0, 86.08, 0.64; GCF_900626285.1, s__Flavonifractor massiliensis_A, 95.0, 83.99, 0.53; GCF_002159455.1, s__Flavonifractor sp002159455, 95.0, 83.53, 0.53; GCF_002159265.1, s__Flavonifractor sp002159265, 95.0, 83.46, 0.51; GCF_002161085.1, s__Flavonifractor sp002161085, 95.0, 82.85, 0.47; GCA_900549565.1, s__Flavonifractor sp900549565, 95.0, 82.37, 0.48; GCF_002159175.1, s__Flavonifractor sp002159175, 95.0, 81.58, 0.42; GCA_900549795.1, s__Flavonifractor sp900549795, 95.0, 81.28, 0.48; GCF_900199495.1, s__Flavonifractor sp900199495, 95.0, 81.15, 0.41	95.36	11	N/A	N/A
SAMEA103957793_bin.8	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Terrisporobacter;s__	N/A	N/A	N/A	N/A	N/A	GCF_000808015.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Terrisporobacter;s__Terrisporobacter othiniensis	93.44	0.8	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Terrisporobacter;s__	taxonomic classification defined by topology and ANI	N/A	GCF_000439105.1, s__Terrisporobacter glycolicus, 95.0, 86.94, 0.74; GCF_900114105.1, s__Terrisporobacter glycolicus_A, 95.0, 86.62, 0.69; GCA_900557165.1, s__Terrisporobacter sp900557165, 95.0, 83.2, 0.66	89.11	11	0.9958519079626039	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
SAMEA103957794_bin.14	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__Phascolarctobacterium_A sp900552855	GCA_900552855.1	95.0	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__Phascolarctobacterium_A sp900552855	99.11	0.88	GCA_900552855.1	95.0	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__Phascolarctobacterium_A sp900552855	99.11	0.88	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900547415.1, s__Phascolarctobacterium_A sp900547415, 95.0, 84.32, 0.78; GCA_900544885.1, s__Phascolarctobacterium_A sp900544885, 95.0, 79.49, 0.36; GCA_000434895.1, s__Phascolarctobacterium_A succinatutens_A, 95.0, 79.34, 0.35; GCF_000188175.1, s__Phascolarctobacterium_A succinatutens, 95.0, 78.98, 0.35; GCA_900553055.1, s__Phascolarctobacterium_A sp900553055, 95.0, 78.72, 0.27; GCA_004558595.1, s__Phascolarctobacterium_A sp004558595, 95.0, 78.71, 0.31; GCA_900541915.1, s__Phascolarctobacterium_A sp900541915, 95.0, 78.62, 0.3; GCA_900545025.1, s__Phascolarctobacterium_A sp900545025, 95.0, 78.57, 0.25; GCA_900551335.1, s__Phascolarctobacterium_A sp900551335, 95.0, 78.26, 0.28; GCA_004562175.1, s__Phascolarctobacterium_A sp004562175, 95.0, 77.99, 0.28; GCA_900552005.1, s__Phascolarctobacterium_A sp900552005, 95.0, 77.28, 0.22	89.13	11	N/A	N/A
SAMEA103957794_bin.30	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-279;s__CAG-279 sp900541935	GCA_900541935.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-279;s__CAG-279 sp900541935	96.65	0.87	GCA_900541935.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-279;s__CAG-279 sp900541935	96.65	0.87	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-279;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900548875.1, s__CAG-279 sp900548875, 95.0, 77.32, 0.1; GCA_900544305.1, s__CAG-279 sp900544305, 95.0, 77.31, 0.14; GCA_004555955.1, s__CAG-279 sp004555955, 95.0, 77.09, 0.13; GCA_900550025.1, s__CAG-279 sp900550025, 95.0, 76.82, 0.05; GCA_900556245.1, s__CAG-279 sp900556245, 95.0, 76.79, 0.1; GCA_900541555.1, s__CAG-279 sp900541555, 95.0, 76.78, 0.06; GCA_000437795.1, s__CAG-279 sp000437795, 95.0, 76.77, 0.08; GCA_004561555.1, s__CAG-279 sp004561555, 95.0, 76.66, 0.09	79.78	11	N/A	N/A
SAMEA103957794_bin.44	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Allobaculum;s__	N/A	N/A	N/A	N/A	N/A	GCF_000384195.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Allobaculum;s__Allobaculum stercoricanis	77.85	0.15	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	90.14	11	0.9863387945729651	N/A
SAMEA103957794_bin.5	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Anaeroplasmataceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Anaeroplasmataceae;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	86.71	11	0.867756987875708	N/A
