,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
11237, f__Rhodobacteraceae (UID3340), 84, 568, 330, 92, 468, 8,0, 0, 0, 87.65,1.15,12.50,2196,2154,47,kingdom,1.0,0.98,0.0,0.0,0.0,0.92,0.9,True
12015, k__Bacteria (UID2982), 88, 230, 148, 87, 142, 1,0, 0, 0, 67.57,0.68, 0.00,743,710,15,phylum,0.95,0.91,0.08,0.05,0.1,0.59,0.54,True
13050,k__Bacteria (UID203),5449,104,58, 70,33, 1,0, 0, 0, 53.45,0.86, 0.00,1098,1061,64,class,0.95,0.92,0.11,0.04,0.08,0.64,0.59,True
14505,root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,365,173,9,kingdom,1.0,0.47,0.0,0.03,0.06,0.4,0.19,True
14766, k__Archaea (UID2),207, 149, 107,142,7,0,0, 0, 0,6.54,0.00, 0.00,233,196,73,order,0.9,0.76,1.0,0.02,0.05,0.61,0.47,False
15345,k__Bacteria (UID203),5449,104,58, 51,53, 0,0, 0, 0, 67.71,0.00, 0.00,963,701,85,phylum,0.92,0.67,0.24,0.07,0.16,0.46,0.31,True
15408, k__Bacteria (UID2570),433, 274, 183, 81, 190, 3,0, 0, 0, 78.42,1.64, 0.00,1439,1366,78,family,0.86,0.82,0.12,0.04,0.07,0.62,0.51,True
15742,k__Bacteria (UID203),5449,104,58, 68,35, 1,0, 0, 0, 40.60,0.34,100.00,999,976,155,family,0.99,0.96,0.49,0.03,0.06,0.78,0.75,False
17163, f__Flavobacteriaceae (UID2817),81, 511, 283, 71, 429, 10, 1, 0, 0, 84.46,2.75, 7.69,1498,1436,47,class,0.95,0.91,0.04,0.03,0.06,0.63,0.57,True
17904, k__Archaea (UID2),207, 149, 107,132,10, 7,0, 0, 0,4.45,0.50, 0.00,368,102,23,kingdom,1.0,0.28,0.0,0.19,0.44,0.38,0.11,True
21362,k__Bacteria (UID203),5449,104,58, 62,41, 1,0, 0, 0, 61.21,1.72, 0.00,1652,1506,94,class,0.8,0.73,0.26,0.54,2.26,0.56,0.41,True
21431,k__Bacteria (UID203),5449,104,58, 80,24, 0,0, 0, 0, 36.21,0.00, 0.00,774,552,126,class,0.84,0.6,0.13,0.42,1.51,0.48,0.29,True
21458,root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,381,130,11,kingdom,1.0,0.34,0.0,0.05,0.11,0.42,0.14,True
21565,root (UID1), 5656, 56,24, 52,4,0,0, 0, 0, 16.67,0.00, 0.00,222,210,9,family,0.78,0.74,0.33,0.15,0.35,0.56,0.42,True
21596,root (UID1), 5656, 56,24, 54,1,1,0, 0, 0,8.33,4.17, 0.00,712,704,89,order,0.9,0.89,1.0,0.53,1.81,0.85,0.76,False
21904,k__Bacteria (UID203),5449,104,58, 90,13, 1,0, 0, 0, 24.14,1.72, 0.00,415,409,20,class,0.92,0.91,1.0,0.05,0.1,0.9,0.81,False
21958,c__Gammaproteobacteria (UID4443),356, 451, 270,165, 241, 43, 2, 0, 0, 57.45, 13.81, 4.08,1248,1223,65,phylum,0.96,0.94,0.98,0.04,0.08,0.63,0.59,False
22206,root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,320,158,13,phylum,0.84,0.42,0.01,0.29,0.86,0.42,0.17,True
22216, s__algicola (UID2846), 47, 571, 303,220, 349, 2,0, 0, 0, 65.79,0.50, 0.00,1163,1123,47,class,0.93,0.9,0.2,0.05,0.1,0.63,0.57,True
22448,k__Bacteria (UID203),5449,104,58, 98,6,0,0, 0, 0,8.62,0.00, 0.00,265,263,7,kingdom,1.0,0.99,0.0,0.0,0.0,0.89,0.88,True
22458,k__Bacteria (UID203),5449,103,58, 98,5,0,0, 0, 0,7.05,0.00, 0.00,199,199,12,kingdom,1.0,1.0,0.0,0.0,0.0,0.97,0.97,True
22755,k__Bacteria (UID203),5449,104,58, 75,29, 0,0, 0, 0, 38.01,0.00, 0.00,527,518,23,order,0.94,0.93,0.05,0.44,0.97,0.64,0.59,True
23908,c__Gammaproteobacteria (UID4201),1164,275, 174, 95, 180, 0,0, 0, 0, 57.09,0.00, 0.00,997,969,18,class,0.98,0.95,0.05,0.03,0.05,0.62,0.59,True
