,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
1073, k__Bacteria (UID203),5449,104,58, 53,51,0,0, 0, 0, 74.14,0.00, 0.00,2918,2838,429,family,0.9,0.87,0.31,0.06,0.13,0.75,0.66,True
1121, k__Bacteria (UID203),5449,104,58, 57,44,3,0, 0, 0, 69.14,5.17,33.33,3755,3698,424,kingdom,1.0,0.98,0.0,0.0,0.0,0.94,0.92,True
1321, k__Bacteria (UID203),5449,104,58, 84,20,0,0, 0, 0, 15.77,0.00, 0.00,267,250,82,phylum,0.94,0.88,0.07,0.08,0.17,0.6,0.53,True
1752, k__Bacteria (UID203),5449,104,58, 66,35,3,0, 0, 0, 53.62,3.45, 0.00,2729,2555,590,order,0.85,0.8,0.19,0.51,2.12,0.62,0.49,True
1761, p__Euryarchaeota (UID3), 148, 188, 125, 28, 156,4,0, 0, 0, 79.60,1.92,75.00,1235,1138,96,phylum,0.97,0.89,0.28,0.03,0.05,0.62,0.55,True
1873,o__Sphingomonadales (UID3310), 26, 569, 293,204, 353,12, 0, 0, 0, 70.39,2.13,16.67,2762,2725,543,family,0.99,0.97,0.79,0.02,0.05,0.97,0.94,False
1880, c__Gammaproteobacteria (UID4761), 52, 693, 297,117, 304, 267, 4, 1, 0, 87.89, 49.38,87.72,6671,6461,1078,kingdom,1.0,0.97,0.0,0.0,0.0,0.93,0.9,True
1946,p__Cyanobacteria (UID2192),79, 584, 458,137, 447,0,0, 0, 0, 74.14,0.00, 0.00,1187,1181,18,kingdom,1.0,0.99,0.0,0.0,0.0,0.99,0.98,True
2499, k__Bacteria (UID203),5449,104,58, 82,21,1,0, 0, 0, 33.10,1.72, 0.00,2688,2645,467,kingdom,1.0,0.98,0.0,0.0,0.0,0.83,0.82,True
2670, k__Bacteria (UID203),5449,104,58, 63,40,1,0, 0, 0, 59.48,0.86,100.00,3184,3152,303,kingdom,1.0,0.99,0.0,0.0,0.0,0.96,0.95,True
2708,k__Bacteria (UID2569),434, 278, 186, 85, 192,1,0, 0, 0, 80.49,0.54, 0.00,1667,1511,235,phylum,0.96,0.87,0.08,0.04,0.08,0.52,0.45,True
3150, k__Bacteria (UID203),5449,104,58, 77,27,0,0, 0, 0, 38.51,0.00, 0.00,2480,2420,572,genus,0.91,0.89,0.21,0.09,0.19,0.84,0.75,True
344,o__Actinomycetales (UID1593), 69, 400, 198, 5,391,4,0, 0, 0, 98.62,1.43, 0.00,2463,2381,62,genus,0.71,0.69,0.07,0.43,1.74,0.7,0.49,True
3634, k__Bacteria (UID203),5449,104,58, 89,15,0,0, 0, 0, 23.28,0.00, 0.00,769,761,118,family,0.88,0.87,0.82,0.17,0.39,0.9,0.79,False
3696, root (UID1), 5656, 56,24, 56,0, 0,0, 0, 0,0.00,0.00, 0.00,259,257,35,kingdom,1.0,0.99,0.0,0.0,0.0,0.95,0.94,True
3949,k__Archaea (UID2),207, 149, 107,134,13,2,0, 0, 0,4.46,0.14, 0.00,345,109,13,kingdom,1.0,0.32,0.0,0.13,0.29,0.37,0.12,True
3961,k__Bacteria (UID1453),901, 171, 117, 63, 103,5,0, 0, 0, 58.72,3.42,20.00,997,947,92,phylum,0.97,0.92,0.74,0.14,0.32,0.58,0.53,False
4027, k__Bacteria (UID203),5449,103,57, 86,17,0,0, 0, 0, 11.29,0.00, 0.00,277,259,86,genus,0.68,0.63,1.0,0.03,0.07,0.64,0.41,False
4075, k__Bacteria (UID203),5449,104,58, 95,9, 0,0, 0, 0, 13.79,0.00, 0.00,389,367,14,kingdom,1.0,0.94,0.0,0.0,0.0,0.52,0.49,True
4133, k__Bacteria (UID203),5449,103,58, 86,16,1,0, 0, 0, 20.69,1.72, 0.00,352,331,65,genus,0.48,0.45,0.68,0.57,2.8,0.71,0.32,False
5506, root (UID1), 5656, 56,24, 55,1, 0,0, 0, 0,4.17,0.00, 0.00,240,232,8,phylum,0.95,0.92,0.05,0.04,0.09,0.54,0.5,True
6076,k__Archaea (UID2),207, 149, 107,131,10,8,0, 0, 0,5.54,1.44, 0.00,331,100,13,kingdom,1.0,0.3,0.0,0.17,0.39,0.36,0.11,True
783,p__Euryarchaeota (UID3), 148, 188, 125, 28, 153,7,0, 0, 0, 80.22,1.42,14.29,1644,1501,203,kingdom,1.0,0.91,0.33,0.07,0.16,0.61,0.56,True
9744, root (UID1), 5656, 56,24, 56,0, 0,0, 0, 0,0.00,0.00, 0.00,221,218,14,genus,0.89,0.88,0.83,0.54,1.98,0.97,0.85,False
