,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
11614,k__Bacteria (UID203),5449,104,58, 28,17, 55, 4, 0, 0, 91.07, 86.71,26.87,5738,5601,368,genus,0.93,0.91,0.85,0.48,1.0,0.97,0.88,False
12300,k__Bacteria (UID203),5449,104,58, 75,29, 0,0, 0, 0, 39.83,0.00, 0.00,2250,2230,195,kingdom,1.0,0.99,0.0,0.0,0.0,0.84,0.83,True
13900,root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,341,119,3,kingdom,1.0,0.35,0.0,0.03,0.07,0.38,0.13,True
18489,root (UID1), 5656, 56,24, 55,1,0,0, 0, 0,4.17,0.00, 0.00,563,552,143,family,0.97,0.95,0.1,0.05,0.11,0.96,0.91,True
24004,c__Gammaproteobacteria (UID4761), 52, 693, 297,352, 337, 4,0, 0, 0, 50.66,0.95,100.00,1761,1747,172,kingdom,1.0,0.99,0.0,0.0,0.0,0.98,0.97,True
24223, k__Bacteria (UID2982), 88, 230, 148,200,30, 0,0, 0, 0, 10.41,0.00, 0.00,259,223,24,kingdom,1.0,0.86,0.0,0.0,0.0,0.67,0.57,True
25464,root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,3591,1523,363,kingdom,1.0,0.42,0.34,0.03,0.07,0.44,0.19,True
2705, o__Actinomycetales (UID1593), 69, 400, 198, 12, 383, 5,0, 0, 0, 98.40,2.19, 0.00,3075,2988,120,kingdom,1.0,0.97,0.0,0.0,0.0,0.87,0.85,True
418, o__Cytophagales (UID2936), 47, 454, 336, 5,445, 4,0, 0, 0, 99.05,0.99, 0.00,3776,3580,43,family,0.93,0.88,0.28,0.06,0.14,0.75,0.66,True
48, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,410,166,11,kingdom,1.0,0.4,0.02,0.04,0.07,0.43,0.18,True
