,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
13240, k__Bacteria (UID2495),2993,147,91, 31, 112, 4,0,0,0, 77.62,4.40,50.00,978,940,128,order,0.95,0.91,0.82,0.04,0.09,0.75,0.68,False
18144, k__Archaea (UID2),207, 149, 107,132,11, 6,0,0,0,4.37,0.43, 0.00,362,101,17,kingdom,1.0,0.28,0.0,0.16,0.36,0.38,0.11,True
19964,p__Euryarchaeota (UID3), 148, 188, 125, 29,93, 66, 0,0,0, 78.13, 40.93,42.42,2306,2166,140,kingdom,1.0,0.94,0.32,0.05,0.09,0.63,0.59,True
23670,k__Bacteria (UID203),5449,102,58, 8, 18, 37, 20, 19, 0, 89.66, 93.23, 3.32,2522,2269,262,genus,0.57,0.52,0.54,0.22,0.56,0.58,0.3,False
24031,k__Bacteria (UID203),5449,102,58, 81,21, 0,0,0,0, 32.76,0.00, 0.00,331,313,25,phylum,0.95,0.89,0.23,0.03,0.06,0.52,0.47,True
26221,p__Euryarchaeota (UID3), 148, 188, 125, 53, 119, 16, 0,0,0, 63.20,6.65,81.25,1070,1040,91,kingdom,1.0,0.97,0.47,0.03,0.05,0.91,0.88,False
27218,p__Euryarchaeota (UID3), 148, 188, 125,100,88, 0,0,0,0, 42.67,0.00, 0.00,703,644,59,phylum,0.97,0.89,0.23,0.03,0.06,0.6,0.53,True
27369,k__Bacteria (UID203),5449,104,58, 93,11, 0,0,0,0, 17.24,0.00, 0.00,356,347,19,family,0.68,0.67,0.12,0.18,0.46,0.6,0.4,True
27900,root (UID1), 5656, 56,24, 49,2,5,0,0,0, 25.00, 16.67, 0.00,950,839,30,phylum,0.77,0.68,0.03,0.54,2.42,0.46,0.31,True
29640, k__Archaea (UID2),207, 149, 107,132,11, 6,0,0,0,3.98,0.43, 0.00,444,113,36,kingdom,1.0,0.25,0.0,0.13,0.3,0.38,0.1,True
29663,k__Bacteria (UID203),5449,104,58,101,3,0,0,0,0,5.17,0.00, 0.00,528,489,44,phylum,0.9,0.84,0.09,0.09,0.19,0.52,0.44,True
31550, s__algicola (UID2846), 47, 571, 303,347, 221, 3,0,0,0, 38.14,0.33,100.00,539,530,30,class,0.97,0.95,0.03,0.05,0.12,0.59,0.56,True
32032,k__Bacteria (UID203),5449,104,58, 88,16, 0,0,0,0, 25.86,0.00, 0.00,450,432,30,class,0.91,0.87,0.09,0.11,0.26,0.55,0.48,True
32415,root (UID1), 5656, 56,24, 55,1,0,0,0,0,4.17,0.00, 0.00,328,321,21,class,0.98,0.96,0.33,0.03,0.06,0.81,0.78,True
33350, k__Archaea (UID2),207, 149, 107,103,46, 0,0,0,0, 38.79,0.00, 0.00,557,540,31,kingdom,1.0,0.97,0.47,0.05,0.1,0.89,0.87,False
33703,k__Bacteria (UID203),5449,104,58, 94,9,1,0,0,0, 14.66,1.72, 0.00,343,316,14,phylum,0.94,0.87,0.23,0.03,0.07,0.53,0.46,True
33771, k__Bacteria (UID1453),901, 171, 117, 71,64, 28, 8,0,0, 52.78, 28.88, 1.92,1364,1265,134,family,0.53,0.49,0.69,0.82,5.8,0.62,0.3,False
34454, k__Bacteria (UID1452),924, 151, 101, 65,63, 21, 2,0,0, 63.86, 21.12, 3.70,1413,1282,49,order,0.52,0.47,0.48,0.6,2.93,0.51,0.24,False
34457,p__Euryarchaeota (UID3), 148, 188, 125, 76, 112, 0,0,0,0, 69.73,0.00, 0.00,1007,933,16,phylum,0.95,0.88,0.02,0.03,0.06,0.62,0.54,True
34458,p__Euryarchaeota (UID3), 148, 188, 125,147,41, 0,0,0,0, 20.00,0.00, 0.00,306,257,8,kingdom,1.0,0.84,0.01,0.07,0.16,0.6,0.51,True
34476,p__Euryarchaeota (UID3), 148, 188, 125,131,48, 7,2,0,0, 26.93,6.86,15.38,572,536,44,kingdom,1.0,0.94,0.12,0.03,0.07,0.77,0.72,True
45,o__Cytophagales (UID2936), 47, 454, 336, 5,442, 7,0,0,0, 98.51,1.55, 0.00,5327,4925,28,genus,0.51,0.47,0.04,0.74,6.35,0.59,0.28,True
7290,k__Archaea (UID2),207, 149, 107,129,13, 5,2,0,0,6.31,0.65, 0.00,366,106,7,kingdom,1.0,0.29,0.0,0.16,0.37,0.37,0.11,True
8692, p__Euryarchaeota (UID3), 148, 188, 125, 45, 143, 0,0,0,0, 69.33,0.00, 0.00,1451,1303,248,kingdom,1.0,0.9,0.24,0.05,0.1,0.62,0.56,True
8721, c__Alphaproteobacteria (UID3305),564, 349, 230,124, 222, 3,0,0,0, 63.99,1.01,66.67,1202,1141,224,class,0.97,0.92,0.25,0.09,0.19,0.62,0.57,True
8819, p__Euryarchaeota (UID3), 148, 188, 125, 25, 163, 0,0,0,0, 82.00,0.00, 0.00,1400,1217,21,kingdom,1.0,0.87,0.02,0.11,0.24,0.52,0.45,True
9826, p__Euryarchaeota (UID3), 148, 188, 125, 63, 125, 0,0,0,0, 65.20,0.00, 0.00,1034,943,9,phylum,0.94,0.85,0.04,0.03,0.07,0.57,0.49,True
