user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
CCMD10032470ST_bin.11	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii	GCF_000374505.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii	97.49	0.94	GCF_000374505.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii	97.49	0.94	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000265365.1, s__Alistipes finegoldii, 95.0, 84.98, 0.73; GCF_000210575.1, s__Alistipes shahii, 95.0, 82.92, 0.64; GCA_900541585.1, s__Alistipes sp900541585, 95.0, 82.74, 0.59; GCF_000312145.1, s__Alistipes senegalensis, 95.0, 82.67, 0.6; GCF_900083545.1, s__Alistipes sp900083545, 95.0, 82.31, 0.61; GCF_900107675.1, s__Alistipes timonensis, 95.0, 82.16, 0.59; GCA_001941065.1, s__Alistipes sp001941065, 95.0, 82.13, 0.57; GCA_900544265.1, s__Alistipes sp900544265, 95.0, 81.84, 0.59; GCA_900549305.1, s__Alistipes sp900549305, 95.0, 81.74, 0.49; GCF_006542685.1, s__Alistipes sp006542685, 95.0, 81.54, 0.55; GCA_000434235.1, s__Alistipes sp000434235, 95.0, 81.27, 0.53; GCA_002358415.1, s__Alistipes sp002358415, 95.0, 80.98, 0.6; GCF_002161445.1, s__Alistipes sp002161445, 95.0, 80.84, 0.51; GCA_900553175.1, s__Alistipes sp900553175, 95.0, 80.71, 0.64; GCF_900604385.1, s__Alistipes sp002159375, 95.0, 80.64, 0.5; GCA_900542505.1, s__Alistipes sp900542505, 95.0, 80.61, 0.56; GCF_900290115.1, s__Alistipes sp900290115, 95.0, 80.34, 0.49; GCF_900021155.1, s__Alistipes sp900021155, 95.0, 80.11, 0.43; GCA_002428825.1, s__Alistipes sp002428825, 95.0, 79.96, 0.52; GCA_900552955.1, s__Alistipes sp900552955, 95.0, 79.58, 0.47; GCF_000311925.1, s__Alistipes obesi, 95.0, 79.35, 0.41; GCA_900550375.1, s__Alistipes sp900550375, 95.0, 78.95, 0.36; GCF_000154465.1, s__Alistipes putredinis, 95.0, 78.89, 0.33; GCA_003979135.1, s__Alistipes sp003979135, 95.0, 77.99, 0.38; GCA_900546065.1, s__Alistipes sp900546065, 95.0, 77.89, 0.24; GCA_900550925.1, s__Alistipes sp900550925, 95.0, 77.81, 0.22; GCA_900548155.1, s__Alistipes sp900548155, 95.0, 77.74, 0.22; GCA_002362235.1, s__Alistipes sp002362235, 95.0, 77.55, 0.25; GCA_002293345.1, s__Alistipes sp002293345, 95.0, 76.74, 0.15	77.98	11	N/A	N/A
CCMD10032470ST_bin.12	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4 sp000765235	GCF_000765235.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4 sp000765235	96.95	0.84	GCF_000765235.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4 sp000765235	96.95	0.84	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900552015.1, s__ER4 sp900552015, 95.0, 90.68, 0.79; GCA_900550165.1, s__ER4 sp900550165, 95.0, 89.38, 0.78; GCA_003522105.1, s__ER4 sp003522105, 95.0, 88.78, 0.7; GCA_900546295.1, s__ER4 sp900546295, 95.0, 87.57, 0.81; GCA_900556145.1, s__ER4 sp900556145, 95.0, 87.06, 0.77; GCA_002405995.1, s__ER4 sp002405995, 95.0, 85.84, 0.73; GCA_900317525.1, s__ER4 sp900317525, 95.0, 82.04, 0.59; GCA_002437735.1, s__ER4 sp002437735, 95.0, 81.47, 0.61; GCA_900552375.1, s__ER4 sp900552375, 95.0, 81.18, 0.54	96.96	11	N/A	N/A
CCMD10032470ST_bin.36	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	GCF_000154205.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	98.51	0.84	GCF_000154205.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	98.51	0.84	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000614125.1, s__Bacteroides rodentium, 95.0, 94.62, 0.74; GCF_004793475.1, s__Bacteroides sp002491635, 95.0, 92.16, 0.65; GCF_000195635.1, s__Bacteroides fluxus, 95.0, 81.57, 0.49; GCF_000154525.1, s__Bacteroides stercoris, 95.0, 80.48, 0.42; GCF_900129655.1, s__Bacteroides clarus, 95.0, 80.36, 0.4; GCF_003438615.1, s__Bacteroides sp003545565, 95.0, 80.28, 0.41; GCF_000155815.1, s__Bacteroides eggerthii, 95.0, 80.06, 0.4; GCF_000374365.1, s__Bacteroides gallinarum, 95.0, 79.9, 0.42; GCF_900241005.1, s__Bacteroides cutis, 95.0, 79.78, 0.35; GCF_004342845.1, s__Bacteroides heparinolyticus, 95.0, 79.62, 0.38; GCF_000186225.1, s__Bacteroides helcogenes, 95.0, 79.57, 0.42; GCF_900108345.1, s__Bacteroides ndongoniae, 95.0, 79.42, 0.31; GCF_002998435.1, s__Bacteroides zoogleoformans, 95.0, 79.32, 0.35; GCF_000614165.1, s__Bacteroides stercorirosoris, 95.0, 79.26, 0.41; GCA_900552405.1, s__Bacteroides sp900552405, 95.0, 79.25, 0.36; GCA_900557355.1, s__Bacteroides sp900557355, 95.0, 79.09, 0.18; GCF_000315485.1, s__Bacteroides oleiciplenus, 95.0, 79.09, 0.39; GCA_900555635.1, s__Bacteroides sp900555635, 95.0, 79.04, 0.43; GCF_000172175.1, s__Bacteroides intestinalis, 95.0, 79.0, 0.38; GCA_900556215.1, s__Bacteroides sp900556215, 95.0, 78.92, 0.34; GCF_000513195.1, s__Bacteroides timonensis, 95.0, 78.89, 0.38; GCF_003464595.1, s__Bacteroides intestinalis_A, 95.0, 78.81, 0.38; GCF_000158035.1, s__Bacteroides cellulosilyticus, 95.0, 78.66, 0.39; GCF_900130135.1, s__Bacteroides togonis, 95.0, 78.36, 0.25; GCF_900128475.1, s__Bacteroides massiliensis, 95.0, 78.34, 0.27; GCF_000613385.1, s__Bacteroides acidifaciens, 95.0, 78.28, 0.21; GCF_001688725.2, s__Bacteroides caecimuris, 95.0, 78.28, 0.19; GCF_900155865.1, s__Bacteroides bouchesdurhonensis, 95.0, 78.19, 0.14; GCF_003865075.1, s__Bacteroides sp003865075, 95.0, 78.13, 0.15; GCA_007097645.1, s__Bacteroides sp007097645, 95.0, 78.08, 0.21; GCA_000210075.1, s__Bacteroides xylanisolvens, 95.0, 78.01, 0.2; GCA_002293435.1, s__Bacteroides sp002293435, 95.0, 78.0, 0.26; GCA_900553815.1, s__Bacteroides sp900553815, 95.0, 77.96, 0.22; GCF_000156195.1, s__Bacteroides finegoldii, 95.75, 77.88, 0.21; GCF_000011065.1, s__Bacteroides thetaiotaomicron, 95.0, 77.86, 0.22; GCF_900130125.1, s__Bacteroides congonensis, 95.0, 77.86, 0.23; GCF_000381365.1, s__Bacteroides salyersiae, 95.0, 77.85, 0.2; GCF_002222615.2, s__Bacteroides caccae, 95.0, 77.82, 0.2; GCF_002849695.1, s__Bacteroides fragilis_A, 95.0, 77.82, 0.2; GCF_003463205.1, s__Bacteroides sp003463205, 95.0, 77.82, 0.2; GCF_000025985.1, s__Bacteroides fragilis, 95.0, 77.79, 0.21; GCA_007197895.1, s__Bacteroides sp900066265, 95.75, 77.79, 0.21; GCF_001314995.1, s__Bacteroides ovatus, 95.0, 77.74, 0.2; GCF_000614145.1, s__Bacteroides faecichinchillae, 95.0, 77.73, 0.14; GCA_900547205.1, s__Bacteroides sp900547205, 95.0, 77.69, 0.2; GCF_900106755.1, s__Bacteroides faecis, 95.0, 77.63, 0.21; GCF_002160055.1, s__Bacteroides sp002160055, 95.0, 77.53, 0.17; GCF_000613465.1, s__Bacteroides nordii, 95.0, 77.51, 0.19; GCA_900556625.1, s__Bacteroides sp900556625, 95.0, 77.31, 0.15; GCF_000428105.1, s__Bacteroides pyogenes, 95.0, 77.18, 0.14; GCA_000511775.1, s__Bacteroides pyogenes_A, 95.0, 76.91, 0.15; GCF_000517545.1, s__Bacteroides reticulotermitis, 95.0, 76.89, 0.13; GCF_000499785.1, s__Bacteroides neonati, 95.0, 76.82, 0.12; GCA_002471185.1, s__Bacteroides sp002471185, 95.0, 76.81, 0.07; GCF_000428125.1, s__Bacteroides graminisolvens, 95.0, 76.68, 0.08; GCF_900128905.1, s__Bacteroides luti, 95.0, 76.59, 0.05; GCA_002471195.1, s__Bacteroides sp002471195, 95.0, 76.55, 0.06; GCA_002307035.1, s__Bacteroides sp002307035, 95.0, 76.51, 0.07; GCF_900104585.1, s__Bacteroides ihuae, 95.0, 76.31, 0.07	72.02	11	N/A	N/A
CCMD10032470ST_bin.38	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;s__Fusicatenibacter saccharivorans	GCF_001405555.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;s__Fusicatenibacter saccharivorans	98.02	0.93	GCF_001405555.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;s__Fusicatenibacter saccharivorans	98.02	0.93	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900543115.1, s__Fusicatenibacter sp900543115, 95.0, 78.11, 0.23	79.58	11	N/A	N/A
CCMD10032470ST_bin.6	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Sutterella;s__Sutterella wadsworthensis	GCF_003315195.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Sutterella;s__Sutterella wadsworthensis	98.79	0.93	GCF_003315195.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Sutterella;s__Sutterella wadsworthensis	98.79	0.93	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Sutterella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_006337085.1, s__Sutterella sp006337085, 95.0, 78.88, 0.32; GCF_000250875.1, s__Sutterella parvirubra, 95.0, 78.38, 0.18; GCF_003609995.1, s__Sutterella megalosphaeroides, 95.0, 78.14, 0.17; GCA_900545275.1, s__Sutterella sp900545275, 95.0, 77.78, 0.15; GCF_000297775.1, s__Sutterella wadsworthensis_A, 95.0, 77.73, 0.16; GCA_900543805.1, s__Sutterella sp900543805, 95.0, 77.64, 0.17	84.15	11	N/A	N/A
CCMD10191450ST_bin.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis	GCF_000154465.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis	98.39	0.89	GCF_000154465.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis	98.39	0.89	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000374505.1, s__Alistipes onderdonkii, 95.0, 81.69, 0.52; GCF_000265365.1, s__Alistipes finegoldii, 95.0, 80.93, 0.52; GCF_000210575.1, s__Alistipes shahii, 95.0, 80.36, 0.49; GCF_000312145.1, s__Alistipes senegalensis, 95.0, 79.77, 0.49; GCF_006542685.1, s__Alistipes sp006542685, 95.0, 79.55, 0.45; GCA_001941065.1, s__Alistipes sp001941065, 95.0, 79.51, 0.42; GCF_900107675.1, s__Alistipes timonensis, 95.0, 79.45, 0.45; GCA_900549305.1, s__Alistipes sp900549305, 95.0, 79.4, 0.32; GCF_900083545.1, s__Alistipes sp900083545, 95.0, 79.25, 0.46; GCA_900541585.1, s__Alistipes sp900541585, 95.0, 79.21, 0.43; GCF_900604385.1, s__Alistipes sp002159375, 95.0, 79.15, 0.4; GCA_900544265.1, s__Alistipes sp900544265, 95.0, 79.11, 0.42; GCA_000434235.1, s__Alistipes sp000434235, 95.0, 78.99, 0.43; GCF_900290115.1, s__Alistipes sp900290115, 95.0, 78.98, 0.37; GCF_002161445.1, s__Alistipes sp002161445, 95.0, 78.93, 0.43; GCF_000311925.1, s__Alistipes obesi, 95.0, 78.82, 0.4; GCA_900553175.1, s__Alistipes sp900553175, 95.0, 78.8, 0.33; GCA_900542505.1, s__Alistipes sp900542505, 95.0, 78.79, 0.39; GCA_900552955.1, s__Alistipes sp900552955, 95.0, 78.76, 0.29; GCF_900021155.1, s__Alistipes sp900021155, 95.0, 78.75, 0.47; GCA_002358415.1, s__Alistipes sp002358415, 95.0, 78.57, 0.31; GCA_900550375.1, s__Alistipes sp900550375, 95.0, 78.29, 0.28; GCA_002428825.1, s__Alistipes sp002428825, 95.0, 77.97, 0.36; GCA_900548155.1, s__Alistipes sp900548155, 95.0, 77.87, 0.18; GCA_003979135.1, s__Alistipes sp003979135, 95.0, 77.66, 0.21; GCA_900546065.1, s__Alistipes sp900546065, 95.0, 77.62, 0.21; GCA_002362235.1, s__Alistipes sp002362235, 95.0, 77.29, 0.18; GCA_900550925.1, s__Alistipes sp900550925, 95.0, 77.14, 0.17; GCA_002293345.1, s__Alistipes sp002293345, 95.0, 76.59, 0.16	77.38	11	N/A	N/A
CCMD10191450ST_bin.18	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Sutterella;s__Sutterella wadsworthensis_A	GCF_000297775.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Sutterella;s__Sutterella wadsworthensis_A	98.92	0.95	GCF_000297775.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Sutterella;s__Sutterella wadsworthensis_A	98.92	0.95	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Sutterella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000250875.1, s__Sutterella parvirubra, 95.0, 79.53, 0.45; GCF_003609995.1, s__Sutterella megalosphaeroides, 95.0, 79.49, 0.43; GCA_900543805.1, s__Sutterella sp900543805, 95.0, 79.44, 0.42; GCA_900545275.1, s__Sutterella sp900545275, 95.0, 79.16, 0.39; GCF_006337085.1, s__Sutterella sp006337085, 95.0, 78.64, 0.32; GCF_003315195.1, s__Sutterella wadsworthensis, 95.0, 77.48, 0.21	77.18	11	N/A	N/A
CCMD10191450ST_bin.21	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger qucibialis	GCF_003324125.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger qucibialis	98.56	0.88	GCF_003324125.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger qucibialis	98.56	0.88	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900539695.1, s__Gemmiger sp900539695, 95.0, 80.78, 0.42; GCA_900554145.1, s__Gemmiger sp900554145, 95.0, 80.65, 0.48; GCA_004554775.1, s__Gemmiger variabilis_B, 95.0, 80.63, 0.46; GCF_900167555.1, s__Gemmiger formicilis, 95.0, 80.46, 0.41; GCA_900540775.1, s__Gemmiger sp900540775, 95.0, 80.13, 0.41; GCA_004561545.1, s__Gemmiger sp004561545, 95.0, 80.12, 0.56; GCA_900540595.1, s__Gemmiger sp900540595, 95.0, 79.88, 0.4; GCA_004552305.1, s__Gemmiger variabilis_A, 95.0, 79.85, 0.46; GCA_900545545.1, s__Gemmiger sp900545545, 95.0, 79.39, 0.42; GCF_000157955.1, s__Gemmiger variabilis, 95.0, 79.1, 0.4; GCA_002306375.1, s__Gemmiger sp002306375, 95.0, 79.01, 0.37; GCA_900556255.1, s__Gemmiger sp900556255, 95.0, 78.98, 0.43; GCA_003343905.1, s__Gemmiger variabilis_C, 95.0, 78.98, 0.41; GCA_900548355.1, s__Gemmiger sp900548355, 95.0, 78.22, 0.34; GCA_004555405.1, s__Gemmiger sp004555405, 95.0, 78.06, 0.24	81.45	11	N/A	N/A
CCMD10191450ST_bin.26	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii	GCF_000374505.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii	98.77	0.97	GCF_000374505.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii	98.77	0.97	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000265365.1, s__Alistipes finegoldii, 95.0, 84.79, 0.68; GCF_000210575.1, s__Alistipes shahii, 95.0, 82.8, 0.59; GCA_900541585.1, s__Alistipes sp900541585, 95.0, 82.73, 0.54; GCF_000312145.1, s__Alistipes senegalensis, 95.0, 82.67, 0.55; GCF_900083545.1, s__Alistipes sp900083545, 95.0, 82.33, 0.55; GCF_900107675.1, s__Alistipes timonensis, 95.0, 82.13, 0.55; GCA_001941065.1, s__Alistipes sp001941065, 95.0, 82.09, 0.53; GCA_900544265.1, s__Alistipes sp900544265, 95.0, 81.77, 0.56; GCF_006542685.1, s__Alistipes sp006542685, 95.0, 81.51, 0.52; GCA_900549305.1, s__Alistipes sp900549305, 95.0, 81.47, 0.49; GCA_000434235.1, s__Alistipes sp000434235, 95.0, 81.18, 0.52; GCA_002358415.1, s__Alistipes sp002358415, 95.0, 80.87, 0.59; GCF_002161445.1, s__Alistipes sp002161445, 95.0, 80.73, 0.46; GCF_900604385.1, s__Alistipes sp002159375, 95.0, 80.71, 0.45; GCA_900542505.1, s__Alistipes sp900542505, 95.0, 80.68, 0.55; GCA_900553175.1, s__Alistipes sp900553175, 95.0, 80.66, 0.63; GCF_900290115.1, s__Alistipes sp900290115, 95.0, 80.36, 0.45; GCA_002428825.1, s__Alistipes sp002428825, 95.0, 79.95, 0.5; GCF_900021155.1, s__Alistipes sp900021155, 95.0, 79.93, 0.41; GCA_900552955.1, s__Alistipes sp900552955, 95.0, 79.47, 0.49; GCF_000311925.1, s__Alistipes obesi, 95.0, 79.31, 0.37; GCF_000154465.1, s__Alistipes putredinis, 95.0, 79.01, 0.31; GCA_900550375.1, s__Alistipes sp900550375, 95.0, 78.91, 0.37; GCA_900550925.1, s__Alistipes sp900550925, 95.0, 78.2, 0.21; GCA_003979135.1, s__Alistipes sp003979135, 95.0, 78.18, 0.36; GCA_900546065.1, s__Alistipes sp900546065, 95.0, 77.74, 0.26; GCA_002362235.1, s__Alistipes sp002362235, 95.0, 77.51, 0.26; GCA_900548155.1, s__Alistipes sp900548155, 95.0, 77.42, 0.2; GCA_002293345.1, s__Alistipes sp002293345, 95.0, 76.05, 0.13	74.23	11	N/A	N/A
CCMD10191450ST_bin.33	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-74;g__UBA11524;s__UBA11524 sp000437595	GCA_000437595.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-74;g__UBA11524;s__UBA11524 sp000437595	97.28	0.89	GCA_000437595.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-74;g__UBA11524;s__UBA11524 sp000437595	97.28	0.89	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-74;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	87.58	11	N/A	N/A
