,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
10022, k__Archaea (UID2),207, 149, 107,132,10, 7,0, 0, 0,3.98,0.50, 0.00,299,83,10,kingdom,1.0,0.28,0.0,0.14,0.33,0.38,0.11,True
10028, k__Bacteria (UID1453),901, 171, 117,120,42, 7,1, 1, 0, 24.05,6.17,18.75,672,595,93,class,0.69,0.61,0.22,0.76,4.96,0.5,0.31,True
10123, k__Archaea (UID2),207, 149, 107,136,13, 0,0, 0, 0, 11.21,0.00, 0.00,252,239,19,phylum,0.99,0.94,0.19,0.02,0.04,0.71,0.66,True
10171,k__Bacteria (UID203),5449,103,57, 55,46, 2,0, 0, 0, 71.93,3.51, 0.00,3399,2842,143,class,0.86,0.72,0.07,0.06,0.13,0.53,0.38,True
10175, k__Bacteria (UID3187),2258,182, 112, 29, 144, 9,0, 0, 0, 84.18,6.75, 0.00,3235,2587,55,class,0.81,0.65,0.05,0.14,0.33,0.49,0.32,True
10192, k__Archaea (UID2),207, 149, 107,134,13, 2,0, 0, 0,3.04,0.14, 0.00,347,89,20,kingdom,1.0,0.26,0.0,0.13,0.3,0.38,0.1,True
10387,k__Bacteria (UID203),5449,103,57, 80,23, 0,0, 0, 0, 35.09,0.00, 0.00,372,363,12,class,0.9,0.88,0.07,0.04,0.08,0.52,0.46,True
10493, k__Bacteria (UID3187),2258,182, 112, 70, 110, 2,0, 0, 0, 73.72,1.79, 0.00,3109,2501,59,class,0.84,0.68,0.1,0.18,0.47,0.49,0.33,True
10618,k__Bacteria (UID203),5449,104,58, 82,21, 1,0, 0, 0, 29.31,1.72,100.00,582,548,79,phylum,0.88,0.83,0.2,0.15,0.35,0.62,0.51,True
10797,k__Bacteria (UID203),5449,104,58, 74,28, 2,0, 0, 0, 40.52,3.45,50.00,734,686,49,phylum,0.95,0.89,0.59,0.12,0.28,0.54,0.48,False
11269,p__Euryarchaeota (UID3), 148, 188, 125, 99,89, 0,0, 0, 0, 47.73,0.00, 0.00,810,694,37,phylum,0.94,0.81,0.07,0.03,0.06,0.54,0.44,True
11401,root (UID1), 5656, 56,24, 54,2,0,0, 0, 0,8.33,0.00, 0.00,406,390,22,family,0.85,0.81,0.2,0.19,0.49,0.64,0.52,True
12569, k__Archaea (UID2),207, 149, 107,132,6,10, 1, 0, 0,3.98,1.10, 0.00,429,129,29,kingdom,1.0,0.3,0.0,0.15,0.34,0.36,0.11,True
