,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
11284,root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,934,319,55,kingdom,1.0,0.34,0.0,0.0,0.0,0.43,0.15,True
12171, p__Cyanobacteria (UID2143), 129, 472, 368,268, 188, 15, 1, 0, 0, 39.65,2.35,50.00,1843,1311,278,genus,0.76,0.54,0.85,0.04,0.09,0.94,0.51,False
12328,k__Bacteria (UID203),5449,104,58, 67,37, 0,0, 0, 0, 47.34,0.00, 0.00,1054,1023,195,family,0.92,0.9,0.43,0.14,0.33,0.69,0.62,True
13192,k__Bacteria (UID203),5449,104,58, 58,45, 1,0, 0, 0, 70.69,1.72, 0.00,2311,2171,173,class,0.92,0.86,0.09,0.3,0.92,0.55,0.47,True
16803,k__Bacteria (UID203),5449,104,58, 70,34, 0,0, 0, 0, 47.41,0.00, 0.00,507,486,25,class,0.92,0.88,0.12,0.07,0.15,0.53,0.46,True
22511,root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,277,116,7,kingdom,1.0,0.42,0.0,0.03,0.05,0.38,0.16,True
23983,k__Bacteria (UID203),5449,104,58, 94,10, 0,0, 0, 0, 15.52,0.00, 0.00,634,607,120,genus,0.75,0.72,0.51,0.14,0.31,0.68,0.49,False
24357, k__Archaea (UID2),207, 149, 107,115,34, 0,0, 0, 0, 26.64,0.00, 0.00,662,612,66,kingdom,1.0,0.92,0.3,0.04,0.09,0.67,0.62,True
25162, f__Rhodobacteraceae (UID3340), 84, 568, 330,272, 292, 4,0, 0, 0, 51.75,0.61,75.00,1196,1180,85,kingdom,1.0,0.99,0.0,0.0,0.0,0.94,0.93,True
26868,k__Bacteria (UID203),5449,104,58, 71,33, 0,0, 0, 0, 30.41,0.00, 0.00,620,605,29,class,0.94,0.91,0.08,0.15,0.33,0.66,0.6,True
27783,k__Bacteria (UID203),5449,100,55, 48,27, 22, 3, 0, 0, 46.00, 19.34,12.90,3787,2174,452,phylum,0.86,0.49,0.35,0.57,2.81,0.49,0.24,True
30818,root (UID1), 5656, 56,24, 50,1,0,3, 2, 0,3.36,5.56, 0.00,614,202,58,kingdom,1.0,0.33,0.0,0.16,0.38,0.38,0.13,True
31310,c__Gammaproteobacteria (UID4761), 52, 693, 297,533, 160, 0,0, 0, 0, 23.21,0.00, 0.00,920,908,102,kingdom,1.0,0.99,0.0,0.0,0.0,0.98,0.96,True
32390,root (UID1), 5656, 56,24, 54,2,0,0, 0, 0,8.33,0.00, 0.00,254,254,12,kingdom,1.0,1.0,0.0,0.0,0.0,0.99,0.99,True
34594,p__Euryarchaeota (UID3), 148, 188, 125,110,54, 17, 7, 0, 0, 42.70, 14.00,21.05,959,905,83,kingdom,1.0,0.94,0.14,0.04,0.09,0.74,0.7,True
34637,k__Bacteria (UID203),5449,104,58, 91,13, 0,0, 0, 0, 18.10,0.00, 0.00,436,400,17,order,0.78,0.72,0.05,0.36,1.22,0.53,0.38,True
34639,k__Bacteria (UID203),5449,103,57, 88,15, 0,0, 0, 0, 22.81,0.00, 0.00,354,339,7,class,0.94,0.9,0.18,0.11,0.24,0.54,0.49,True
34640,root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,286,132,16,phylum,0.92,0.43,0.07,0.31,1.03,0.42,0.18,True
8920, k__Bacteria (UID203),5449,104,58, 90,14, 0,0, 0, 0, 14.06,0.00, 0.00,307,282,93,phylum,0.96,0.88,0.4,0.14,0.33,0.61,0.53,True
