,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
20954, p__Euryarchaeota (UID3),148, 188, 125, 75, 111, 2,0, 0, 0, 66.50,1.60,50.00,1032,1015,108,kingdom,0.99,0.97,0.0,0.0,0.0,0.97,0.95,True
36359,k__Archaea (UID2), 207, 149, 107,142,7,0,0, 0, 0,6.54,0.00, 0.00,6029,2487,764,kingdom,1.0,0.41,0.07,0.04,0.09,0.43,0.18,True
38992, root (UID1),5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,366,119,16,kingdom,1.0,0.33,0.0,0.04,0.09,0.4,0.13,True
40988, root (UID1),5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,397,172,16,kingdom,1.0,0.43,0.0,0.04,0.08,0.41,0.18,True
41009,k__Archaea (UID2), 207, 149, 107,100,48, 1,0, 0, 0, 33.80,0.93, 0.00,411,336,29,kingdom,1.0,0.82,0.5,0.46,0.99,0.45,0.36,False
41010, root (UID1),5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,822,147,54,kingdom,1.0,0.18,0.0,0.36,0.86,0.38,0.07,True
41020, k__Bacteria (UID203), 5449,104,58, 97,7,0,0, 0, 0, 10.34,0.00, 0.00,846,538,83,phylum,0.85,0.54,0.5,0.42,1.48,0.48,0.26,False
41033, root (UID1),5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,237,131,27,kingdom,1.0,0.55,0.26,0.02,0.05,0.41,0.23,True
6757,k__Bacteria (UID203), 5449,104,58, 10,68, 26, 0, 0, 0, 87.77,7.10, 0.00,4595,4446,834,kingdom,1.0,0.97,0.0,0.0,0.0,0.89,0.87,True
6882, p__Cyanobacteria (UID2143),129, 472, 368,212, 257, 3,0, 0, 0, 59.74,0.50,33.33,1501,1460,253,kingdom,1.0,0.97,0.0,0.0,0.0,0.96,0.93,True
