,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
11514, k__Archaea (UID2),207, 149, 107,132,17, 0,0,0, 0,4.84,0.00, 0.00,848,146,33,kingdom,1.0,0.17,0.0,0.1,0.21,0.33,0.06,True
12730, k__Archaea (UID2),207, 149, 107,135,14, 0,0,0, 0,1.80,0.00, 0.00,318,51,32,kingdom,1.0,0.16,0.0,0.18,0.41,0.41,0.07,True
12966, k__Archaea (UID2),207, 149, 107,131,11, 7,0,0, 0,4.45,0.50, 0.00,526,140,16,kingdom,1.0,0.27,0.0,0.12,0.27,0.37,0.1,True
13867,k__Bacteria (UID203),5449,100,54, 94,1,5,0,0, 0,1.21,0.84, 0.00,532,175,16,kingdom,1.0,0.33,0.0,0.1,0.21,0.36,0.12,True
14328, k__Bacteria (UID1453),901, 171, 117, 45, 124, 2,0,0, 0, 82.48,1.71,50.00,1455,1120,51,class,0.66,0.5,0.03,0.79,7.1,0.46,0.23,True
14760, k__Bacteria (UID1452),924, 151, 101, 81,70, 0,0,0, 0, 52.15,0.00, 0.00,856,776,16,phylum,0.8,0.72,0.02,0.67,3.17,0.45,0.32,True
21309,root (UID1), 5656, 56,24, 56,0,0,0,0, 0,0.00,0.00, 0.00,445,101,8,kingdom,1.0,0.23,0.0,0.1,0.22,0.37,0.08,True
22209, k__Bacteria (UID1453),901, 171, 117, 35, 135, 1,0,0, 0, 75.64,0.43, 0.00,1618,1564,74,phylum,0.98,0.95,0.07,0.04,0.09,0.62,0.58,True
26, k__Bacteria (UID203),5449,104,58, 92,3,4,5,0, 0,2.26,2.19, 0.00,289,92,14,kingdom,1.0,0.32,0.0,0.21,0.49,0.34,0.11,True
26816, k__Archaea (UID2),207, 149, 107,131,12, 6,0,0, 0,4.45,0.43, 0.00,362,104,10,kingdom,1.0,0.29,0.0,0.15,0.35,0.37,0.1,True
27878, k__Bacteria (UID1453),901, 171, 117, 41, 128, 2,0,0, 0, 72.22,1.28, 0.00,1417,1377,38,phylum,0.98,0.95,0.15,0.04,0.08,0.85,0.81,True
29394, k__Archaea (UID2),207, 149, 107,136,13, 0,0,0, 0,3.85,0.00, 0.00,326,91,13,kingdom,1.0,0.28,0.0,0.16,0.38,0.39,0.11,True
29970,k__Bacteria (UID203),5449,104,58, 76,28, 0,0,0, 0, 39.66,0.00, 0.00,843,803,18,phylum,0.9,0.85,0.04,0.12,0.28,0.63,0.54,True
31227,k__Bacteria (UID203),5449,103,57, 82,21, 0,0,0, 0, 29.12,0.00, 0.00,423,385,17,phylum,0.84,0.76,0.03,0.55,2.29,0.45,0.34,True
32431,p__Euryarchaeota (UID3), 148, 188, 125, 42, 146, 0,0,0, 0, 72.27,0.00, 0.00,1112,1016,41,kingdom,1.0,0.91,0.06,0.05,0.11,0.62,0.57,True
33157, k__Archaea (UID2),207, 149, 107,132,7,0,2,2, 6,3.98,4.65, 0.00,1356,351,124,kingdom,1.0,0.26,0.0,0.14,0.31,0.39,0.1,True
34232,root (UID1), 5656, 56,24, 0, 0,31, 15, 6, 4, 100.00,232.64,1.19,7643,7132,772,order,0.62,0.58,0.78,0.56,2.24,0.59,0.35,False
35292,p__Euryarchaeota (UID3), 148, 188, 125, 94,66, 25, 3,0, 0, 52.93, 19.47,61.76,1231,1141,58,kingdom,1.0,0.93,0.15,0.06,0.14,0.59,0.55,True
36576, k__Archaea (UID2),207, 149, 107, 80,39, 27, 3,0, 0, 46.73, 21.65,41.67,935,870,118,phylum,0.97,0.9,0.31,0.02,0.04,0.79,0.71,True
37572,root (UID1), 5656, 56,24, 56,0,0,0,0, 0,0.00,0.00, 0.00,682,602,74,genus,0.46,0.41,0.17,0.4,1.21,0.51,0.21,True
37607,k__Bacteria (UID203),5449,104,58,101,3,0,0,0, 0,5.17,0.00, 0.00,328,320,22,class,0.98,0.96,0.51,0.03,0.07,0.79,0.76,False
37880,root (UID1), 5656, 56,24, 56,0,0,0,0, 0,0.00,0.00, 0.00,226,221,15,class,0.79,0.77,0.19,0.04,0.08,0.58,0.45,True
38749,c__Gammaproteobacteria (UID4267),119, 544, 284,305, 239, 0,0,0, 0, 45.37,0.00, 0.00,661,648,13,class,0.96,0.95,0.05,0.06,0.14,0.6,0.57,True
39014,root (UID1), 5656, 56,24, 56,0,0,0,0, 0,0.00,0.00, 0.00,272,262,11,phylum,0.97,0.93,0.19,0.05,0.1,0.64,0.6,True
4663, c__Gammaproteobacteria (UID4761), 52, 693, 297, 3,684, 6,0,0, 0, 99.76,1.33,33.33,3793,3707,68,kingdom,1.0,0.98,0.0,0.0,0.0,0.93,0.91,True
4981,k__Archaea (UID2),207, 149, 107, 68,57, 22, 2,0, 0, 52.76, 16.89, 3.57,1433,1376,297,order,0.82,0.79,1.0,0.42,1.12,0.95,0.75,False
5253,k__Bacteria (UID3187),2258,182, 112, 6,174, 2,0,0, 0, 94.64,1.79, 0.00,3252,2455,65,order,0.66,0.5,0.08,0.33,1.0,0.5,0.25,True
6804,k__Archaea (UID2),207, 149, 107,139,10, 0,0,0, 0,1.58,0.00, 0.00,306,73,8,kingdom,1.0,0.24,0.0,0.08,0.18,0.36,0.08,True
9558, c__Betaproteobacteria (UID3888), 323, 376, 229, 98, 277, 1,0,0, 0, 81.61,0.44, 0.00,1145,1096,9,order,0.84,0.8,0.08,0.03,0.06,0.61,0.49,True
